scheduled_shipping_days,actual_shipping_days,delay_days,late_delivery_risk,shipping_mode,order_item_quantity,product_price,product_category,order_region,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio
5.0,6.7,1.7,0,Standard Class,8,268.73,Automotive,South Asia,28.8,73.5,3.8,0.76
5.0,9.2,4.2,1,Standard Class,2,12.69,Chemicals,North America,0.4,97.3,6.2,0.4
3.0,4.7,1.7,0,Second Class,4,357.67,Industrial Parts,East Asia,15.4,77.6,4.9,0.42
5.0,8.3,3.3,1,Standard Class,2,236.08,Apparel,South Asia,0.6,52.5,5.3,0.85
5.0,8.6,3.6,1,Standard Class,7,270.59,Electronics,Latin America,59.8,60.5,4.1,0.61
5.0,10.0,5.0,1,Standard Class,5,138.97,Electronics,North America,66.3,70.9,4.6,0.78
5.0,10.7,5.7,1,Standard Class,9,97.34,Automotive,East Asia,76.7,72.9,0.4,0.75
2.0,7.0,5.0,1,First Class,5,352.99,Chemicals,North America,18.7,74.8,9.3,0.57
5.0,7.2,2.2,1,Standard Class,8,113.03,Apparel,East Asia,9.6,93.0,0.3,0.72
3.0,4.8,1.8,0,Second Class,2,392.24,Automotive,East Asia,65.0,30.9,7.7,0.69
5.0,8.8,3.8,1,Standard Class,3,109.8,Automotive,Europe,50.0,82.9,3.0,0.48
5.0,9.1,4.1,1,Standard Class,6,310.21,Chemicals,North America,87.6,57.0,1.1,0.19
5.0,8.6,3.6,1,Standard Class,7,325.5,Apparel,North America,53.3,88.5,6.1,0.29
5.0,10.1,5.1,1,Standard Class,8,257.77,Chemicals,South Asia,44.5,63.1,7.1,0.39
1.0,6.1,5.1,1,Same Day,3,498.43,Electronics,Latin America,48.8,93.5,6.3,0.58
3.0,8.8,5.8,1,Second Class,7,194.16,Industrial Parts,South Asia,78.2,42.4,5.8,0.32
2.0,4.7,2.7,1,First Class,8,442.83,Electronics,Europe,1.8,9.9,5.4,0.23
2.0,6.5,4.5,1,First Class,6,92.92,Electronics,East Asia,91.8,64.5,5.4,0.08
5.0,10.0,5.0,1,Standard Class,4,175.23,Automotive,Europe,71.4,77.5,8.7,0.24
2.0,4.2,2.2,1,First Class,6,81.23,Electronics,Europe,88.5,69.1,0.9,0.54
5.0,7.1,2.1,1,Standard Class,9,305.78,Apparel,South Asia,96.0,72.5,1.6,0.18
5.0,6.0,1.0,0,Standard Class,3,322.75,Electronics,East Asia,22.6,2.9,8.1,0.08
5.0,9.1,4.1,1,Standard Class,2,232.22,Apparel,Latin America,57.8,96.5,3.0,0.12
5.0,10.6,5.6,1,Standard Class,5,362.88,Chemicals,Europe,48.6,26.4,7.7,0.91
5.0,7.2,2.2,1,Standard Class,7,435.15,Automotive,Latin America,53.8,41.4,3.5,0.08
5.0,9.7,4.7,1,Standard Class,3,390.51,Apparel,East Asia,4.7,41.8,9.3,0.48
2.0,9.5,7.5,1,First Class,5,128.41,Electronics,East Asia,91.4,90.7,2.8,0.67
5.0,10.7,5.7,1,Standard Class,4,167.0,Automotive,South Asia,95.5,74.4,4.3,0.25
5.0,10.3,5.3,1,Standard Class,7,196.34,Automotive,North America,68.5,62.0,1.6,0.92
5.0,6.6,1.6,0,Standard Class,2,109.85,Apparel,South Asia,25.8,12.0,6.7,0.07
5.0,8.4,3.4,1,Standard Class,7,187.01,Apparel,Latin America,78.7,32.3,4.0,0.84
2.0,6.2,4.2,1,First Class,2,126.64,Industrial Parts,South Asia,73.1,49.2,9.4,0.4
5.0,9.2,4.2,1,Standard Class,3,497.91,Industrial Parts,East Asia,57.5,11.5,0.2,0.4
1.0,3.8,2.8,1,Same Day,5,393.79,Automotive,Europe,17.0,57.1,3.9,0.47
3.0,7.1,4.1,1,Second Class,7,431.41,Industrial Parts,North America,20.1,21.4,0.2,0.92
5.0,6.9,1.9,0,Standard Class,6,461.85,Electronics,East Asia,58.9,82.4,3.3,0.62
5.0,8.1,3.1,1,Standard Class,7,335.85,Chemicals,Europe,12.9,82.9,3.8,0.84
2.0,4.1,2.1,1,First Class,6,96.23,Automotive,Latin America,72.4,59.9,2.6,0.08
3.0,6.0,3.0,1,Second Class,1,381.68,Chemicals,Latin America,21.3,36.0,2.6,0.86
3.0,7.4,4.4,1,Second Class,5,17.65,Industrial Parts,Latin America,91.0,4.5,2.6,0.24
3.0,8.9,5.9,1,Second Class,1,65.48,Apparel,South Asia,90.0,62.9,2.7,0.33
5.0,7.2,2.2,1,Standard Class,7,24.5,Automotive,Latin America,29.4,78.5,2.8,0.12
5.0,11.0,6.0,1,Standard Class,4,76.37,Industrial Parts,Latin America,8.3,79.0,8.5,0.87
5.0,8.4,3.4,1,Standard Class,5,378.48,Electronics,South Asia,61.1,48.4,0.4,0.52
2.0,5.1,3.1,1,First Class,1,443.89,Automotive,Europe,44.8,14.0,9.9,0.13
3.0,5.7,2.7,1,Second Class,8,146.63,Automotive,East Asia,14.4,6.5,2.8,0.41
5.0,6.6,1.6,0,Standard Class,4,68.37,Apparel,North America,53.1,5.6,0.3,0.39
5.0,8.6,3.6,1,Standard Class,3,143.75,Automotive,Latin America,99.3,24.9,1.8,0.1
5.0,6.8,1.8,0,Standard Class,1,327.09,Apparel,Latin America,6.9,14.1,9.4,0.36
5.0,6.8,1.8,0,Standard Class,4,181.6,Industrial Parts,Latin America,26.4,16.9,10.0,0.31
3.0,7.5,4.5,1,Second Class,3,480.96,Electronics,South Asia,53.9,69.9,2.5,0.88
3.0,6.2,3.2,1,Second Class,8,74.18,Electronics,South Asia,79.3,18.0,2.3,0.78
2.0,6.7,4.7,1,First Class,9,495.27,Automotive,South Asia,1.9,69.2,8.4,0.19
5.0,12.5,7.5,1,Standard Class,5,16.1,Automotive,North America,73.3,35.2,9.1,0.89
5.0,8.0,3.0,1,Standard Class,9,231.33,Industrial Parts,East Asia,14.0,77.5,6.5,0.72
3.0,8.1,5.1,1,Second Class,1,133.39,Apparel,Latin America,83.1,15.9,9.4,0.49
3.0,9.4,6.4,1,Second Class,7,287.48,Electronics,Europe,69.2,2.3,9.5,0.44
5.0,10.0,5.0,1,Standard Class,7,57.31,Apparel,Latin America,45.7,8.9,7.6,0.88
3.0,7.8,4.8,1,Second Class,6,439.15,Industrial Parts,Latin America,82.2,96.6,3.5,0.32
5.0,8.1,3.1,1,Standard Class,4,76.9,Electronics,Latin America,73.3,53.8,1.5,0.38
5.0,10.5,5.5,1,Standard Class,9,297.82,Electronics,Latin America,75.9,60.7,5.2,0.67
5.0,9.9,4.9,1,Standard Class,3,26.34,Chemicals,East Asia,29.0,96.7,2.9,0.73
5.0,8.4,3.4,1,Standard Class,1,162.39,Industrial Parts,Europe,61.9,77.6,1.2,0.34
5.0,10.0,5.0,1,Standard Class,2,83.36,Industrial Parts,South Asia,14.1,11.3,3.9,0.88
5.0,10.2,5.2,1,Standard Class,3,489.14,Chemicals,Europe,82.1,42.2,4.8,0.28
3.0,9.0,6.0,1,Second Class,2,15.89,Apparel,Latin America,52.7,82.1,6.6,0.36
5.0,9.5,4.5,1,Standard Class,6,182.67,Chemicals,Europe,82.5,66.5,2.2,0.23
5.0,8.8,3.8,1,Standard Class,7,158.36,Industrial Parts,Latin America,21.1,21.6,8.7,0.53
2.0,6.7,4.7,1,First Class,5,332.11,Apparel,Europe,13.0,80.6,1.9,0.95
5.0,11.9,6.9,1,Standard Class,5,37.63,Electronics,North America,68.9,55.9,10.0,0.7
5.0,7.7,2.7,1,Standard Class,7,407.2,Chemicals,Europe,5.8,78.8,5.6,0.47
3.0,6.4,3.4,1,Second Class,6,238.6,Apparel,South Asia,24.4,62.6,1.5,0.93
5.0,9.3,4.3,1,Standard Class,8,231.86,Apparel,South Asia,90.9,46.3,8.3,0.09
5.0,9.4,4.4,1,Standard Class,9,121.13,Apparel,Europe,13.3,72.9,2.5,0.31
5.0,10.9,5.9,1,Standard Class,2,250.12,Chemicals,Europe,37.6,86.6,1.9,0.8
5.0,10.1,5.1,1,Standard Class,2,188.31,Electronics,East Asia,94.6,46.6,1.3,0.52
2.0,5.9,3.9,1,First Class,1,130.12,Apparel,Europe,2.0,3.0,5.5,0.05
2.0,6.0,4.0,1,First Class,7,92.65,Chemicals,South Asia,44.5,59.3,8.8,0.46
3.0,7.8,4.8,1,Second Class,4,366.88,Industrial Parts,North America,78.6,9.0,9.0,0.07
2.0,6.3,4.3,1,First Class,9,79.6,Chemicals,South Asia,90.9,32.5,7.9,0.57
2.0,5.8,3.8,1,First Class,6,92.31,Chemicals,East Asia,73.6,55.0,5.8,0.62
5.0,7.8,2.8,1,Standard Class,7,292.76,Chemicals,Europe,88.8,34.5,5.3,0.23
2.0,3.0,1.0,0,First Class,7,120.78,Apparel,North America,3.4,28.1,3.7,0.94
5.0,6.8,1.8,0,Standard Class,8,235.09,Chemicals,South Asia,10.0,2.0,0.4,0.8
2.0,6.7,4.7,1,First Class,4,280.93,Industrial Parts,North America,73.8,26.9,8.4,0.47
2.0,8.7,6.7,1,First Class,3,144.47,Apparel,Latin America,75.3,38.5,10.0,0.33
5.0,8.9,3.9,1,Standard Class,3,178.34,Industrial Parts,South Asia,60.5,29.0,9.2,0.06
5.0,10.9,5.9,1,Standard Class,8,113.0,Automotive,Latin America,73.0,62.8,9.3,0.67
5.0,11.5,6.5,1,Standard Class,3,235.61,Chemicals,North America,85.8,66.6,3.3,0.29
5.0,9.8,4.8,1,Standard Class,8,496.28,Apparel,Europe,54.5,78.0,1.0,0.41
2.0,7.3,5.3,1,First Class,2,187.73,Apparel,Europe,94.7,18.6,8.7,0.44
2.0,6.7,4.7,1,First Class,5,330.13,Chemicals,Europe,69.4,61.9,7.6,0.82
5.0,7.7,2.7,1,Standard Class,5,321.59,Electronics,Latin America,47.2,43.0,3.9,0.82
5.0,9.4,4.4,1,Standard Class,7,395.38,Electronics,Europe,42.2,32.3,8.3,0.75
5.0,11.5,6.5,1,Standard Class,5,358.84,Industrial Parts,East Asia,75.0,48.3,1.4,0.74
5.0,8.3,3.3,1,Standard Class,9,15.77,Chemicals,South Asia,63.0,48.1,6.5,0.5
5.0,9.0,4.0,1,Standard Class,3,161.52,Chemicals,South Asia,81.7,63.9,9.5,0.76
5.0,9.5,4.5,1,Standard Class,9,436.41,Automotive,North America,78.1,55.9,9.1,0.82
2.0,6.6,4.6,1,First Class,1,274.38,Electronics,Latin America,52.4,63.1,7.6,0.5
5.0,11.5,6.5,1,Standard Class,3,61.07,Electronics,South Asia,94.6,98.0,2.7,0.86
5.0,11.6,6.6,1,Standard Class,4,145.31,Chemicals,Latin America,70.4,81.0,1.0,0.94
3.0,6.4,3.4,1,Second Class,6,148.86,Industrial Parts,North America,20.1,29.2,3.2,0.21
5.0,9.6,4.6,1,Standard Class,8,437.86,Chemicals,Europe,61.8,53.3,6.2,0.93
1.0,2.7,1.7,0,Same Day,7,281.17,Industrial Parts,North America,20.2,22.9,3.2,0.27
1.0,6.7,5.7,1,Same Day,8,308.08,Electronics,East Asia,55.9,51.9,4.1,0.89
5.0,10.1,5.1,1,Standard Class,6,189.86,Automotive,Europe,79.0,71.2,4.0,0.82
5.0,8.5,3.5,1,Standard Class,6,39.55,Apparel,Europe,81.3,6.6,3.4,0.87
5.0,8.8,3.8,1,Standard Class,6,46.87,Electronics,Europe,65.1,13.7,9.2,0.46
5.0,9.8,4.8,1,Standard Class,3,215.99,Industrial Parts,North America,78.3,0.7,3.2,0.19
5.0,8.4,3.4,1,Standard Class,4,96.97,Chemicals,East Asia,47.2,37.9,9.9,0.25
3.0,5.3,2.3,1,Second Class,6,61.09,Electronics,Latin America,55.1,76.7,2.1,0.32
5.0,10.6,5.6,1,Standard Class,7,138.5,Automotive,North America,88.0,45.0,8.7,0.27
5.0,10.7,5.7,1,Standard Class,3,373.6,Industrial Parts,South Asia,49.3,57.1,7.3,0.92
5.0,6.4,1.4,0,Standard Class,4,45.78,Chemicals,South Asia,35.1,59.0,6.7,0.19
2.0,7.2,5.2,1,First Class,6,229.63,Apparel,North America,79.7,9.0,4.5,0.67
5.0,7.7,2.7,1,Standard Class,1,414.78,Industrial Parts,Latin America,5.0,17.4,8.2,0.51
5.0,11.9,6.9,1,Standard Class,7,141.28,Chemicals,South Asia,95.8,91.5,4.9,0.08
5.0,6.6,1.6,0,Standard Class,1,157.92,Apparel,Latin America,34.0,45.9,1.4,0.24
1.0,5.8,4.8,1,Same Day,9,443.26,Chemicals,Europe,63.0,41.9,2.8,0.89
5.0,10.7,5.7,1,Standard Class,9,328.5,Apparel,North America,68.5,75.1,1.8,0.79
3.0,6.5,3.5,1,Second Class,9,400.88,Apparel,Europe,13.7,4.5,5.7,0.58
3.0,7.1,4.1,1,Second Class,4,151.71,Apparel,South Asia,82.3,84.1,6.6,0.12
5.0,7.2,2.2,1,Standard Class,2,498.42,Chemicals,Latin America,57.2,67.0,3.4,0.17
3.0,6.1,3.1,1,Second Class,7,79.04,Apparel,Europe,32.8,14.5,0.4,0.71
5.0,9.9,4.9,1,Standard Class,4,481.35,Industrial Parts,South Asia,85.1,6.5,6.6,0.73
3.0,8.0,5.0,1,Second Class,5,452.03,Automotive,East Asia,62.5,0.3,0.6,0.91
3.0,8.3,5.3,1,Second Class,1,280.43,Automotive,Europe,78.6,29.4,9.7,0.24
5.0,11.7,6.7,1,Standard Class,6,296.8,Apparel,East Asia,99.2,32.5,8.9,0.63
5.0,7.0,2.0,0,Standard Class,7,389.77,Automotive,East Asia,13.0,17.7,8.3,0.44
2.0,6.5,4.5,1,First Class,3,160.32,Automotive,South Asia,75.0,28.7,3.7,0.15
5.0,11.3,6.3,1,Standard Class,2,268.46,Apparel,North America,75.8,56.2,7.4,0.35
5.0,8.4,3.4,1,Standard Class,7,452.16,Apparel,Latin America,87.5,11.3,0.5,0.38
5.0,7.1,2.1,1,Standard Class,1,43.44,Industrial Parts,South Asia,40.8,20.1,0.9,0.46
5.0,10.0,5.0,1,Standard Class,2,453.71,Electronics,Europe,87.0,56.2,4.9,0.31
3.0,6.8,3.8,1,Second Class,3,367.1,Chemicals,Latin America,64.0,70.4,5.9,0.55
5.0,6.5,1.5,0,Standard Class,4,387.22,Apparel,North America,6.9,93.1,7.7,0.6
5.0,4.5,0.0,0,Standard Class,5,41.71,Apparel,South Asia,3.2,51.1,3.0,0.42
5.0,6.7,1.7,0,Standard Class,4,102.0,Automotive,North America,48.1,11.3,5.4,0.39
3.0,6.8,3.8,1,Second Class,3,463.38,Industrial Parts,Europe,78.6,59.2,0.6,0.64
5.0,10.3,5.3,1,Standard Class,1,70.79,Automotive,South Asia,38.4,99.5,4.7,0.1
3.0,9.5,6.5,1,Second Class,7,319.28,Apparel,Europe,85.2,88.3,6.7,0.83
5.0,12.0,7.0,1,Standard Class,6,393.52,Apparel,Latin America,49.2,78.0,9.9,0.93
2.0,4.8,2.8,1,First Class,2,123.33,Automotive,Latin America,2.6,73.5,7.7,0.1
5.0,11.1,6.1,1,Standard Class,2,352.41,Apparel,North America,97.4,75.6,10.0,0.69
5.0,7.5,2.5,1,Standard Class,3,42.13,Electronics,North America,49.0,9.1,5.0,0.28
5.0,8.3,3.3,1,Standard Class,8,254.4,Chemicals,Latin America,65.0,52.0,4.3,0.44
2.0,4.5,2.5,1,First Class,8,173.87,Chemicals,East Asia,19.9,69.0,8.3,0.29
2.0,5.1,3.1,1,First Class,8,326.41,Chemicals,Latin America,29.7,7.3,4.6,0.24
5.0,9.7,4.7,1,Standard Class,7,445.61,Electronics,South Asia,48.4,91.5,7.6,0.45
3.0,7.0,4.0,1,Second Class,2,71.49,Apparel,Europe,85.6,12.8,9.9,0.38
2.0,4.9,2.9,1,First Class,1,230.65,Automotive,Latin America,10.2,8.8,7.2,0.43
5.0,9.8,4.8,1,Standard Class,6,217.36,Industrial Parts,Latin America,78.0,12.3,0.1,0.78
5.0,8.3,3.3,1,Standard Class,8,168.66,Apparel,Europe,57.9,42.3,1.8,0.93
5.0,9.2,4.2,1,Standard Class,1,245.28,Electronics,Europe,50.0,54.3,2.8,0.18
5.0,10.6,5.6,1,Standard Class,3,441.56,Electronics,South Asia,87.7,9.5,8.2,0.72
2.0,7.6,5.6,1,First Class,1,487.09,Chemicals,Europe,11.8,78.6,9.3,0.54
2.0,8.5,6.5,1,First Class,9,11.39,Apparel,North America,99.1,20.0,6.5,0.39
3.0,5.9,2.9,1,Second Class,7,372.13,Chemicals,Latin America,85.5,56.0,0.9,0.64
5.0,7.3,2.3,1,Standard Class,8,311.39,Industrial Parts,Europe,32.6,49.1,5.0,0.84
5.0,9.7,4.7,1,Standard Class,9,497.31,Chemicals,South Asia,45.2,90.6,8.6,0.63
3.0,6.0,3.0,1,Second Class,3,54.07,Industrial Parts,Europe,2.5,89.3,3.6,0.68
2.0,4.5,2.5,1,First Class,2,407.56,Electronics,Latin America,52.8,23.8,0.7,0.18
2.0,7.5,5.5,1,First Class,6,467.62,Chemicals,East Asia,54.8,53.8,7.8,0.69
3.0,12.5,9.5,1,Second Class,5,456.94,Chemicals,Europe,92.7,98.5,6.6,0.94
3.0,4.7,1.7,0,Second Class,4,284.68,Automotive,North America,38.8,33.2,4.7,0.91
5.0,9.3,4.3,1,Standard Class,6,170.5,Electronics,Latin America,57.1,7.4,8.5,0.42
5.0,12.4,7.4,1,Standard Class,6,323.55,Automotive,South Asia,74.1,71.8,8.5,0.84
2.0,5.5,3.5,1,First Class,3,159.98,Industrial Parts,Latin America,60.9,50.3,7.0,0.58
3.0,6.5,3.5,1,Second Class,2,212.01,Industrial Parts,East Asia,15.6,94.0,9.4,0.16
5.0,10.5,5.5,1,Standard Class,9,228.41,Electronics,South Asia,17.2,57.5,4.5,0.93
5.0,6.9,1.9,0,Standard Class,8,157.96,Industrial Parts,East Asia,13.8,51.1,7.3,0.6
3.0,7.5,4.5,1,Second Class,4,177.5,Electronics,East Asia,21.8,91.5,8.3,0.15
5.0,10.4,5.4,1,Standard Class,6,13.58,Industrial Parts,North America,32.8,38.0,6.4,0.57
5.0,7.7,2.7,1,Standard Class,3,155.57,Apparel,Europe,74.0,59.7,5.5,0.7
5.0,7.7,2.7,1,Standard Class,8,241.43,Chemicals,North America,6.1,84.6,7.3,0.26
3.0,10.0,7.0,1,Second Class,3,94.77,Apparel,North America,82.0,59.8,3.5,0.66
3.0,7.3,4.3,1,Second Class,2,404.74,Electronics,North America,26.2,29.8,3.7,0.92
5.0,10.1,5.1,1,Standard Class,7,273.44,Electronics,South Asia,61.3,55.8,9.8,0.26
3.0,7.4,4.4,1,Second Class,3,399.0,Apparel,Europe,55.3,43.2,1.2,0.49
5.0,7.9,2.9,1,Standard Class,9,72.77,Chemicals,Europe,15.4,98.5,8.4,0.33
5.0,7.7,2.7,1,Standard Class,3,412.05,Chemicals,South Asia,28.7,5.1,7.9,0.4
3.0,6.4,3.4,1,Second Class,8,479.55,Automotive,North America,29.6,76.8,0.5,0.8
3.0,7.9,4.9,1,Second Class,2,182.7,Industrial Parts,North America,62.4,2.4,7.0,0.79
2.0,4.6,2.6,1,First Class,9,149.14,Automotive,East Asia,78.9,60.4,0.9,0.06
3.0,4.6,1.6,0,Second Class,1,326.95,Chemicals,East Asia,99.6,43.1,2.1,0.16
5.0,9.8,4.8,1,Standard Class,3,321.6,Apparel,Latin America,9.6,91.0,9.6,0.36
5.0,8.6,3.6,1,Standard Class,2,65.11,Industrial Parts,East Asia,93.9,53.9,3.6,0.32
5.0,8.3,3.3,1,Standard Class,7,464.11,Apparel,Europe,56.2,82.7,0.6,0.13
5.0,9.3,4.3,1,Standard Class,5,244.74,Automotive,South Asia,35.7,67.2,5.2,0.67
5.0,7.3,2.3,1,Standard Class,8,384.56,Electronics,North America,28.5,44.7,2.1,0.63
1.0,2.4,1.4,0,Same Day,2,186.07,Apparel,Latin America,20.9,33.8,4.3,0.27
5.0,10.1,5.1,1,Standard Class,8,138.15,Automotive,East Asia,55.7,11.7,1.0,0.38
2.0,7.5,5.5,1,First Class,7,64.52,Automotive,Latin America,94.6,1.4,1.0,0.49
3.0,4.6,1.6,0,Second Class,5,144.51,Automotive,South Asia,18.2,0.1,5.0,0.09
3.0,6.7,3.7,1,Second Class,2,496.78,Electronics,South Asia,43.6,22.6,3.4,0.19
5.0,8.7,3.7,1,Standard Class,7,332.4,Electronics,Latin America,20.4,56.1,1.6,0.63
5.0,10.0,5.0,1,Standard Class,4,403.36,Electronics,Latin America,17.6,97.5,5.8,0.49
5.0,9.7,4.7,1,Standard Class,4,479.67,Industrial Parts,Latin America,86.7,70.5,0.6,0.59
5.0,10.1,5.1,1,Standard Class,8,48.71,Electronics,North America,26.2,7.1,7.5,0.93
3.0,7.4,4.4,1,Second Class,6,90.7,Electronics,Europe,24.8,64.5,0.5,0.73
5.0,12.9,7.9,1,Standard Class,9,464.7,Electronics,East Asia,91.0,48.5,9.7,0.92
5.0,7.2,2.2,1,Standard Class,2,286.63,Apparel,East Asia,38.6,63.6,7.4,0.58
3.0,5.9,2.9,1,Second Class,5,321.08,Electronics,East Asia,0.9,62.3,9.0,0.05
5.0,10.5,5.5,1,Standard Class,6,219.54,Industrial Parts,Latin America,72.1,14.4,4.4,0.13
2.0,7.0,5.0,1,First Class,8,409.07,Automotive,Latin America,51.7,91.9,0.6,0.68
1.0,3.6,2.6,1,Same Day,4,263.45,Apparel,Latin America,77.4,55.5,2.3,0.32
2.0,5.3,3.3,1,First Class,7,414.8,Chemicals,North America,57.0,70.1,9.7,0.42
5.0,9.1,4.1,1,Standard Class,7,496.17,Electronics,North America,35.1,38.7,6.2,0.66
5.0,4.5,0.0,0,Standard Class,4,326.9,Automotive,North America,6.7,12.2,2.3,0.35
2.0,8.3,6.3,1,First Class,1,269.12,Automotive,North America,86.6,69.1,4.8,0.84
5.0,8.3,3.3,1,Standard Class,3,188.93,Apparel,South Asia,20.7,94.2,3.2,0.4
1.0,4.6,3.6,1,Same Day,2,105.4,Chemicals,North America,97.1,58.1,4.9,0.09
1.0,7.0,6.0,1,Same Day,3,331.76,Industrial Parts,North America,24.6,19.9,8.4,0.94
2.0,6.1,4.1,1,First Class,5,40.69,Automotive,North America,82.7,62.3,2.2,0.49
5.0,8.2,3.2,1,Standard Class,1,478.58,Automotive,East Asia,78.9,42.9,4.0,0.37
5.0,10.7,5.7,1,Standard Class,5,327.3,Automotive,East Asia,46.3,39.9,4.5,0.86
2.0,7.5,5.5,1,First Class,2,480.09,Automotive,East Asia,40.2,91.4,5.9,0.82
5.0,7.7,2.7,1,Standard Class,4,143.41,Apparel,Europe,70.3,73.7,0.8,0.08
5.0,7.3,2.3,1,Standard Class,6,473.79,Chemicals,South Asia,52.9,50.9,2.1,0.78
5.0,8.8,3.8,1,Standard Class,9,309.94,Automotive,Latin America,63.2,41.8,4.0,0.49
2.0,5.4,3.4,1,First Class,6,407.03,Industrial Parts,North America,47.0,24.3,8.1,0.66
3.0,6.5,3.5,1,Second Class,2,97.67,Industrial Parts,East Asia,55.7,34.3,1.9,0.18
5.0,7.6,2.6,1,Standard Class,8,255.05,Electronics,South Asia,18.9,54.1,8.8,0.65
5.0,7.8,2.8,1,Standard Class,5,288.79,Automotive,North America,5.5,4.8,3.4,0.26
3.0,6.7,3.7,1,Second Class,9,202.5,Automotive,Europe,35.6,35.8,2.5,0.16
1.0,3.9,2.9,1,Same Day,9,134.08,Automotive,Latin America,46.6,49.4,4.1,0.17
5.0,10.9,5.9,1,Standard Class,4,453.34,Automotive,North America,90.6,60.8,5.5,0.32
5.0,11.8,6.8,1,Standard Class,1,51.68,Automotive,Latin America,41.4,74.3,7.3,0.94
2.0,3.4,1.4,0,First Class,9,85.45,Industrial Parts,North America,43.4,1.4,4.8,0.1
3.0,8.1,5.1,1,Second Class,9,167.05,Chemicals,Europe,67.5,29.5,8.2,0.35
3.0,7.5,4.5,1,Second Class,8,460.69,Chemicals,South Asia,20.7,26.1,8.2,0.52
