scheduled_shipping_days,actual_shipping_days,delay_days,late_delivery_risk,shipping_mode,order_item_quantity,product_price,product_category,order_region,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio,order_value,scheduled_density,unit_item_value,log_order_value,scheduled_days_sq,is_express,high_supplier_dep,high_weather_risk,distance_km,normalized_route_distance,same_region_indicator,cross_region_indicator,trade_dependency_score,economic_risk_score,gdp_growth_rate,logistics_perf_index,infrastructure_quality,precipitation_risk,natural_hazard_score,risk_composite_index,delay_risk_ratio,cost_efficiency_ratio,weather_x_port,weather_x_geo,supplier_x_port,scheduled_x_weather,trade_x_geo,weather_x_infra,econ_x_supplier,weather_x_port_x_supplier,region_x_mode,category_x_mode
5.0,8.8,3.8,1,Standard Class,8,173.31,Apparel,Latin America,92.4,0.1,8.3,0.3,1386.48,1.5686274509803924,21.3962962962963,7.235244431102286,25.0,0,0,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,78.54,66.50500000000001,0.6029450000000001,32.76595744680851,33.98235294117647,766.9200000000001,9.24,2.49,462.0,7.420000000000001,175.56,17.55,230.07600000000002,Latin America_Standard Class,Apparel_Standard Class
1.0,3.3,2.3,1,Same Day,8,450.64,Chemicals,Latin America,0.5,74.1,0.6,0.79,3605.12,7.2727272727272725,55.63456790123457,8.190387681079782,1.0,1,1,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,0.425,20.55,0.364075,0.17730496453900707,409.67272727272723,0.3,37.05,0.474,0.5,5498.219999999999,0.95,46.215,0.237,Latin America_Same Day,Chemicals_Same Day
2.0,8.1,6.1,1,First Class,3,247.6,Electronics,Latin America,88.5,19.2,6.2,0.46,742.8,1.4285714285714286,79.87096774193547,6.61177218149097,4.0,0,0,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,75.225,63.225,0.6097,31.382978723404253,117.9047619047619,548.7,1699.2,2.8520000000000003,177.0,1424.64,168.15,26.91,252.40200000000004,Latin America_First Class,Electronics_First Class
5.0,8.5,3.5,1,Standard Class,4,334.32,Apparel,Europe,76.6,32.1,7.9,0.47,1337.28,0.7843137254901962,81.54146341463415,7.199140486358299,25.0,0,0,1,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,65.11,66.195,0.606105,20.426666666666666,65.5529411764706,605.14,2458.86,3.713,383.0,2195.6400000000003,68.94000000000003,15.087,284.4158,Europe_Standard Class,Apparel_Standard Class
5.0,9.4,4.4,1,Standard Class,4,62.19,Chemicals,Latin America,9.7,17.2,9.1,0.06,248.76,0.7843137254901962,15.16829268292683,5.520500456767122,25.0,0,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,8.245,35.964999999999996,0.33836,3.439716312056737,12.194117647058825,88.27,166.83999999999997,0.5459999999999999,48.5,1276.24,18.429999999999996,3.51,5.2962,Latin America_Standard Class,Chemicals_Standard Class
5.0,7.0,2.0,0,Standard Class,1,251.31,Electronics,Europe,23.7,77.7,5.1,0.29,251.31,0.19607843137254904,228.46363636363634,5.530658490216289,25.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,20.145,45.39,0.433935,6.319999999999999,49.2764705882353,120.86999999999999,1841.49,1.4789999999999999,118.5,5314.68,21.33000000000001,9.309,35.052299999999995,Europe_Standard Class,Electronics_Standard Class
5.0,10.8,5.8,1,Standard Class,6,17.89,Industrial Parts,South Asia,34.9,48.5,7.5,0.85,107.34,1.1764705882352942,2.932786885245902,4.685274430229753,25.0,0,1,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,29.665,50.33,0.567545,10.640243902439023,3.5078431372549024,261.75,1692.6499999999999,6.375,174.5,4001.25,52.349999999999994,38.25,222.48749999999998,South Asia_Standard Class,Industrial Parts_Standard Class
5.0,12.3,7.3,1,Standard Class,2,201.6,Electronics,South Asia,91.0,16.6,9.7,0.5,403.2,0.3921568627450981,96.0,6.001909804969521,25.0,0,0,1,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,77.35,74.2,0.68395,27.74390243902439,39.529411764705884,882.6999999999999,1510.6000000000001,4.85,455.0,1369.5000000000002,136.5,22.5,441.34999999999997,South Asia_Standard Class,Electronics_Standard Class
5.0,9.2,4.2,1,Standard Class,9,36.7,Electronics,Latin America,98.0,3.9,8.3,0.42,330.3,1.7647058823529413,4.032967032967034,5.80302430930585,25.0,0,0,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,83.3,69.97500000000001,0.6460750000000001,34.75177304964539,7.19607843137255,813.4000000000001,382.2,3.486,490.0,289.38,186.2,24.57,341.62800000000004,Latin America_Standard Class,Electronics_Standard Class
5.0,9.5,4.5,1,Standard Class,1,449.52,Automotive,Latin America,8.7,98.7,8.5,0.12,449.52,0.19607843137254904,408.6545454545454,6.110402471179496,25.0,0,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,7.395,54.09,0.475885,3.0851063829787226,88.14117647058823,73.94999999999999,858.6899999999999,1.02,43.5,7323.540000000001,16.529999999999998,7.02,8.873999999999999,Latin America_Standard Class,Automotive_Standard Class
3.0,6.3,3.3,1,Second Class,1,339.67,Automotive,Latin America,39.7,71.4,4.1,0.31,339.67,0.3225806451612903,308.79090909090905,5.830914266783482,9.0,0,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,33.745000000000005,48.015,0.47970999999999997,14.078014184397162,109.57096774193549,162.77,2834.5800000000004,1.271,119.10000000000001,5297.880000000001,75.43,18.135,50.4587,Latin America_Second Class,Automotive_Second Class
5.0,5.0,-0.0,0,Standard Class,6,398.02,Industrial Parts,South Asia,14.9,68.0,0.9,0.17,2388.12,1.1764705882352942,65.24918032786886,7.7786803762861645,25.0,0,0,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,12.665,26.404999999999998,0.31487000000000004,4.542682926829268,78.04313725490196,13.41,1013.2,0.15300000000000002,74.5,5610.0,22.35,7.65,2.2797,South Asia_Standard Class,Industrial Parts_Standard Class
5.0,9.0,4.0,1,Standard Class,1,239.16,Industrial Parts,North America,27.8,50.3,9.7,0.2,239.16,0.19607843137254904,217.4181818181818,5.4813053678851515,25.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,23.63,54.185,0.448615,6.967418546365915,46.89411764705883,269.65999999999997,1398.34,1.94,139.0,2615.6,16.67999999999999,4.9,53.931999999999995,North America_Standard Class,Industrial Parts_Standard Class
5.0,9.6,4.6,1,Standard Class,3,427.43,Electronics,South Asia,98.1,43.5,7.0,0.35,1282.29,0.5882352941176471,137.88064516129032,7.157182371809862,25.0,0,0,1,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,83.38499999999999,76.02,0.6833549999999999,29.908536585365848,83.80980392156863,686.6999999999999,4267.349999999999,2.4499999999999997,490.5,3588.75,147.14999999999998,15.749999999999998,240.34499999999997,South Asia_Standard Class,Electronics_Standard Class
5.0,10.0,5.0,1,Standard Class,2,437.79,Apparel,Latin America,98.4,79.6,1.7,0.11,875.58,0.3921568627450981,208.47142857142856,6.776027972301207,25.0,0,0,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,83.64,69.28,0.6145700000000001,34.8936170212766,85.84117647058825,167.28,7832.64,0.187,492.0,5906.32,186.96,6.435,18.4008,Latin America_Standard Class,Apparel_Standard Class
3.0,9.1,6.1,1,Second Class,9,184.84,Industrial Parts,North America,47.2,82.7,9.7,0.75,1663.56,2.903225806451613,20.312087912087915,7.417316103226327,9.0,0,1,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,40.120000000000005,71.015,0.651835,11.829573934837093,59.6258064516129,457.84,3903.4400000000005,7.2749999999999995,141.60000000000002,4300.400000000001,28.319999999999986,18.375,343.38,North America_Second Class,Industrial Parts_Second Class
5.0,10.2,5.2,1,Standard Class,5,194.66,Electronics,North America,18.3,6.1,7.2,0.61,973.3,0.9803921568627452,38.168627450980395,6.881719264431296,25.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,15.555,31.360000000000003,0.3564149999999999,4.586466165413534,38.168627450980395,131.76000000000002,111.63,4.392,91.5,317.2,10.979999999999993,14.945,80.37360000000001,North America_Standard Class,Electronics_Standard Class
5.0,9.5,4.5,1,Standard Class,6,259.04,Chemicals,East Asia,54.7,85.9,0.9,0.77,1554.2400000000002,1.1764705882352942,42.46557377049181,7.349385153540026,25.0,0,1,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,46.495000000000005,48.790000000000006,0.571135,15.110497237569062,50.7921568627451,49.230000000000004,4698.7300000000005,0.6930000000000001,273.5,7559.200000000001,54.7,31.724000000000004,37.90710000000001,East Asia_Standard Class,Chemicals_Standard Class
5.0,8.2,3.2,1,Standard Class,2,30.7,Automotive,Europe,32.1,76.2,1.7,0.36,61.4,0.3921568627450981,14.619047619047619,4.133565275375382,25.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,27.285,38.595000000000006,0.40833,8.56,6.019607843137255,54.57,2446.02,0.612,160.5,5212.080000000001,28.89000000000001,11.556000000000001,19.6452,Europe_Standard Class,Automotive_Standard Class
5.0,11.0,6.0,1,Standard Class,8,497.93,Apparel,Latin America,92.9,48.6,8.7,0.25,3983.44,1.5686274509803924,61.472839506172846,8.290152054373314,25.0,0,0,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,78.965,80.055,0.68917,32.94326241134752,97.63333333333334,808.23,4514.9400000000005,2.175,464.5,3606.1200000000003,176.51,14.625,202.0575,Latin America_Standard Class,Apparel_Standard Class
3.0,11.9,8.9,1,Second Class,6,186.0,Electronics,Europe,81.8,47.6,9.5,0.58,1116.0,1.9354838709677418,30.491803278688526,7.018401799069201,9.0,0,0,1,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,69.53,77.21000000000001,0.69569,21.813333333333333,60.0,777.1,3893.68,5.51,245.39999999999998,3255.84,73.62000000000003,18.618,450.71799999999996,Europe_Second Class,Electronics_Second Class
5.0,8.9,3.9,1,Standard Class,8,240.71,Chemicals,East Asia,30.9,83.5,3.6,0.07,1925.68,1.5686274509803924,29.717283950617286,7.563553593389592,25.0,0,0,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,26.264999999999997,45.58,0.4319950000000001,8.535911602209945,47.19803921568628,111.24,2580.15,0.25200000000000006,154.5,7348.0,30.9,2.8840000000000003,7.7868,East Asia_Standard Class,Chemicals_Standard Class
5.0,6.9,1.9,0,Standard Class,8,379.83,Automotive,Europe,1.8,79.4,4.1,0.13,3038.64,1.5686274509803924,46.89259259259259,8.019494366335309,25.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,1.53,32.96,0.32264,0.48000000000000004,74.4764705882353,7.38,142.92000000000002,0.5329999999999999,9.0,5430.960000000001,1.6200000000000008,4.173,0.9594,Europe_Standard Class,Automotive_Standard Class
2.0,6.8,4.8,1,First Class,1,155.78,Chemicals,Latin America,99.8,13.9,4.0,0.72,155.78,0.47619047619047616,141.6181818181818,5.0548435487605765,4.0,0,1,1,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,84.83,60.385,0.637115,35.39007092198581,74.18095238095238,399.2,1387.22,2.88,199.6,1031.38,189.61999999999998,42.12,287.424,Latin America_First Class,Chemicals_First Class
1.0,5.1,4.1,1,Same Day,7,108.8,Electronics,East Asia,68.3,54.9,8.4,0.85,761.6,6.363636363636363,15.323943661971832,6.636733647423464,1.0,1,1,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,58.05499999999999,69.66,0.7087649999999999,18.867403314917127,98.90909090909089,573.72,3749.6699999999996,7.14,68.3,4831.2,68.3,35.02,487.66200000000003,East Asia_Same Day,Electronics_Same Day
2.0,5.2,3.2,1,First Class,2,72.45,Industrial Parts,Europe,42.6,96.9,4.5,0.23,144.9,0.9523809523809523,34.5,4.98292145552874,4.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,36.21,56.895,0.510105,11.360000000000001,34.5,191.70000000000002,4127.9400000000005,1.0350000000000001,85.2,6627.960000000001,38.34000000000002,7.383000000000001,44.09100000000001,Europe_First Class,Industrial Parts_First Class
5.0,6.7,1.7,0,Standard Class,8,268.73,Automotive,South Asia,28.8,73.5,3.8,0.76,2149.84,1.5686274509803924,33.17654320987655,7.673613742493664,25.0,0,1,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,24.48,42.735,0.511065,8.780487804878048,52.69215686274511,109.44,2116.8,2.888,144.0,6063.75,43.2,34.2,83.1744,South Asia_Standard Class,Automotive_Standard Class
5.0,9.2,4.2,1,Standard Class,2,12.69,Chemicals,North America,0.4,97.3,6.2,0.4,25.38,0.3921568627450981,6.042857142857143,3.2726061472891685,25.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,0.34,43.105000000000004,0.40744499999999995,0.10025062656641603,2.488235294117647,2.4800000000000004,38.92,2.4800000000000004,2.0,5059.599999999999,0.23999999999999988,9.8,0.9920000000000002,North America_Standard Class,Chemicals_Standard Class
3.0,4.7,1.7,0,Second Class,4,357.67,Industrial Parts,East Asia,15.4,77.6,4.9,0.42,1430.68,1.2903225806451613,87.23658536585367,7.266603858861711,9.0,0,0,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,13.09,41.03,0.44642000000000004,4.254143646408839,115.37741935483871,75.46000000000001,1195.04,2.0580000000000003,46.2,6828.799999999999,15.4,17.304000000000002,31.6932,East Asia_Second Class,Industrial Parts_Second Class
5.0,8.3,3.3,1,Standard Class,2,236.08,Apparel,South Asia,0.6,52.5,5.3,0.85,472.16,0.3921568627450981,112.41904761904762,6.159433597677536,25.0,0,1,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,0.51,29.294999999999998,0.42175500000000005,0.18292682926829265,46.29019607843138,3.1799999999999997,31.5,4.505,3.0,4331.25,0.8999999999999999,38.25,2.703,South Asia_Standard Class,Apparel_Standard Class
5.0,8.6,3.6,1,Standard Class,7,270.59,Electronics,Latin America,59.8,60.5,4.1,0.61,1894.1299999999999,1.3725490196078431,38.1112676056338,7.547042716746659,25.0,0,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,50.83,54.334999999999994,0.5719650000000001,21.205673758865245,53.05686274509804,245.17999999999998,3617.8999999999996,2.501,299.0,4489.1,113.61999999999999,35.685,149.5598,Latin America_Standard Class,Electronics_Standard Class
5.0,10.0,5.0,1,Standard Class,5,138.97,Electronics,North America,66.3,70.9,4.6,0.78,694.85,0.9803921568627452,27.249019607843138,6.545134119865862,25.0,0,1,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,56.355,61.36,0.606915,16.616541353383457,27.249019607843138,304.97999999999996,4700.67,3.5879999999999996,331.5,3686.8,39.77999999999997,19.11,237.88439999999997,North America_Standard Class,Electronics_Standard Class
5.0,10.7,5.7,1,Standard Class,9,97.34,Automotive,East Asia,76.7,72.9,0.4,0.75,876.0600000000001,1.7647058823529413,10.696703296703298,6.776575405083292,25.0,0,1,1,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,65.19500000000001,53.940000000000005,0.608985,21.1878453038674,19.086274509803925,30.680000000000003,5591.43,0.30000000000000004,383.5,6415.200000000001,76.7,30.900000000000002,23.01,East Asia_Standard Class,Automotive_Standard Class
2.0,7.0,5.0,1,First Class,5,352.99,Chemicals,North America,18.7,74.8,9.3,0.57,1764.95,2.380952380952381,69.21372549019608,7.476444068192316,4.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,15.895,55.015,0.50976,4.68671679197995,168.09047619047618,173.91,1398.76,5.301,37.4,3889.6,11.219999999999994,13.964999999999998,99.1287,North America_First Class,Chemicals_First Class
5.0,7.2,2.2,1,Standard Class,8,113.03,Apparel,East Asia,9.6,93.0,0.3,0.72,904.24,1.5686274509803924,13.954320987654322,6.808200101912545,25.0,0,1,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,8.16,28.47,0.41643,2.6519337016574585,22.162745098039217,2.88,892.8,0.216,48.0,8184.0,9.6,29.664,2.0736,East Asia_Standard Class,Apparel_Standard Class
3.0,4.8,1.8,0,Second Class,2,392.24,Automotive,East Asia,65.0,30.9,7.7,0.69,784.48,0.6451612903225806,186.78095238095239,6.66629499588203,9.0,0,0,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,55.25,60.075,0.6192749999999999,17.955801104972377,126.52903225806452,500.5,2008.5,5.313,195.0,2719.2,65.0,28.428,345.34499999999997,East Asia_Second Class,Automotive_Second Class
5.0,8.8,3.8,1,Standard Class,3,109.8,Automotive,Europe,50.0,82.9,3.0,0.48,329.4,0.5882352941176471,35.41935483870967,5.800304041646823,25.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,42.5,52.225,0.520525,13.333333333333334,21.529411764705884,150.0,4145.0,1.44,250.0,5670.360000000001,45.000000000000014,15.408,72.0,Europe_Standard Class,Automotive_Standard Class
5.0,9.1,4.1,1,Standard Class,6,310.21,Chemicals,North America,87.6,57.0,1.1,0.19,1861.2599999999998,1.1764705882352942,50.85409836065574,7.52954608289027,25.0,0,0,1,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,74.46,56.97,0.50138,21.95488721804511,60.825490196078434,96.36,4993.2,0.20900000000000002,438.0,2964.0,52.55999999999997,4.655,18.3084,North America_Standard Class,Chemicals_Standard Class
5.0,8.6,3.6,1,Standard Class,7,325.5,Apparel,North America,53.3,88.5,6.1,0.29,2278.5,1.3725490196078431,45.845070422535215,7.731711399653496,25.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,45.305,64.41,0.548315,13.358395989974936,63.82352941176471,325.12999999999994,4717.05,1.7689999999999997,266.5,4602.0,31.97999999999998,7.1049999999999995,94.28769999999997,North America_Standard Class,Apparel_Standard Class
5.0,10.1,5.1,1,Standard Class,8,257.77,Chemicals,South Asia,44.5,63.1,7.1,0.39,2062.16,1.5686274509803924,31.823456790123455,7.631994067019756,25.0,0,0,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,37.824999999999996,57.1,0.548575,13.567073170731707,50.543137254901964,315.95,2807.9500000000003,2.769,222.5,5205.75,66.75,17.55,123.2205,South Asia_Standard Class,Chemicals_Standard Class
1.0,6.1,5.1,1,Same Day,3,498.43,Electronics,Latin America,48.8,93.5,6.3,0.58,1495.29,2.727272727272727,160.78387096774193,7.310743990015267,1.0,1,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,41.48,64.235,0.628515,17.304964539007088,453.11818181818177,307.44,4562.8,3.6539999999999995,48.8,6937.7,92.71999999999998,33.93,178.31519999999998,Latin America_Same Day,Electronics_Same Day
3.0,8.8,5.8,1,Second Class,7,194.16,Industrial Parts,South Asia,78.2,42.4,5.8,0.32,1359.12,2.258064516129032,27.346478873239437,7.215328210131711,9.0,0,0,1,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,66.47,63.190000000000005,0.5896599999999999,23.841463414634145,62.63225806451613,453.56,3315.68,1.8559999999999999,234.60000000000002,3498.0,117.30000000000001,14.4,145.13920000000002,South Asia_Second Class,Industrial Parts_Second Class
2.0,4.7,2.7,1,First Class,8,442.83,Electronics,Europe,1.8,9.9,5.4,0.23,3542.64,3.8095238095238093,54.67037037037037,8.17290972642992,4.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,1.53,19.485000000000003,0.23941500000000002,0.48000000000000004,210.87142857142857,9.72,17.82,1.2420000000000002,3.6,677.1600000000001,1.6200000000000008,7.383000000000001,2.2356000000000003,Europe_First Class,Electronics_First Class
2.0,6.5,4.5,1,First Class,6,92.92,Electronics,East Asia,91.8,64.5,5.4,0.08,557.52,2.857142857142857,15.232786885245902,6.325290428073994,4.0,0,0,1,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,78.03,73.635,0.6336149999999999,25.359116022099446,44.24761904761905,495.72,5921.099999999999,0.43200000000000005,183.6,5676.0,91.8,3.2960000000000003,39.6576,East Asia_First Class,Electronics_First Class
5.0,10.0,5.0,1,Standard Class,4,175.23,Automotive,Europe,71.4,77.5,8.7,0.24,700.92,0.7843137254901962,42.739024390243905,6.5538194374179035,25.0,0,0,1,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,60.690000000000005,77.605,0.648295,19.040000000000003,34.358823529411765,621.18,5533.5,2.0879999999999996,357.0,5301.0,64.26000000000003,7.704,149.08319999999998,Europe_Standard Class,Automotive_Standard Class
2.0,4.2,2.2,1,First Class,6,81.23,Electronics,Europe,88.5,69.1,0.9,0.54,487.38,2.857142857142857,13.316393442622953,6.191093791357123,4.0,0,0,1,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,75.225,59.800000000000004,0.5946250000000001,23.6,38.680952380952384,79.65,6115.349999999999,0.48600000000000004,177.0,4726.44,79.65000000000003,17.334000000000003,43.011,Europe_First Class,Electronics_First Class
5.0,7.1,2.1,1,Standard Class,9,305.78,Apparel,South Asia,96.0,72.5,1.6,0.18,2752.0199999999995,1.7647058823529413,33.6021978021978,7.920453769918253,25.0,0,0,1,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,81.6,66.125,0.604475,29.268292682926827,59.956862745098036,153.60000000000002,6960.0,0.288,480.0,5981.25,144.0,8.1,27.648000000000003,South Asia_Standard Class,Apparel_Standard Class
5.0,6.0,1.0,0,Standard Class,3,322.75,Electronics,East Asia,22.6,2.9,8.1,0.08,968.25,0.5882352941176471,104.11290322580645,6.8765225765510385,25.0,0,0,0,4500.0,0.375,0,1,88.0,41.2,4.2,3.52,4.0,19.21,35.195,0.346055,6.2430939226519335,63.2843137254902,183.06,65.54,0.648,113.0,255.2,22.6,3.2960000000000003,14.6448,East Asia_Standard Class,Electronics_Standard Class
