distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,port_congestion_index,predicted_delay_days
1729.8,68.5,17,Road,69.8,3.3,7.7
540.6,39.8,12,Road,90.4,9.3,5.19
1106.0,45.6,5,Road,24.6,4.3,4.62
455.1,11.7,4,Road,14.5,3.6,1.85
3634.7,67.3,16,Sea,24.3,2.4,14.77
612.9,53.9,18,Rail,88.2,8.9,5.79
2681.2,81.3,20,Air,66.6,9.6,6.79
1545.6,18.5,9,Rail,45.1,3.2,4.21
1020.8,68.5,16,Road,82.0,6.2,6.91
2879.4,61.8,35,Sea,23.7,9.6,15.47
2059.2,24.3,29,Sea,23.9,5.0,10.69
1803.7,60.2,30,Rail,56.7,4.7,7.35
2669.9,83.2,20,Sea,79.0,5.3,15.43
2213.2,82.7,22,Rail,26.0,0.3,7.37
1369.2,64.9,23,Rail,21.0,3.0,6.0
2518.0,4.8,36,Road,47.4,7.0,6.9
3014.4,78.6,22,Road,13.4,9.7,9.08
125.0,59.4,1,Road,74.8,5.7,4.76
2099.1,28.3,21,Road,57.7,1.9,6.71
264.3,17.3,19,Rail,51.3,4.3,3.32
842.9,10.9,8,Road,87.2,4.9,4.35
2524.5,5.0,5,Rail,73.3,1.5,5.07
3898.5,68.0,29,Air,14.9,3.3,5.79
3973.2,21.6,18,Road,42.0,4.5,8.75
319.4,2.7,29,Road,32.1,2.6,2.95
1888.9,36.1,15,Sea,80.2,3.5,11.06
2625.6,43.7,31,Road,71.9,2.8,8.62
666.1,15.6,15,Road,47.2,6.1,3.56
3445.6,4.4,3,Road,82.4,5.8,7.29
3350.3,17.4,33,Road,41.0,5.5,8.34
4065.5,61.3,24,Air,80.4,1.0,6.8
43.1,7.9,38,Sea,3.2,1.8,5.03
979.0,50.2,24,Rail,13.5,1.1,4.65
3723.2,13.6,13,Air,75.6,0.6,4.29
3019.3,18.0,27,Sea,11.4,2.5,11.47
4025.3,35.7,33,Road,68.4,1.9,10.33
262.0,9.5,19,Air,72.4,7.2,3.26
2688.4,16.0,25,Rail,66.2,7.0,6.1
2562.9,31.7,6,Sea,81.8,2.0,11.72
165.4,30.0,33,Air,51.2,1.7,3.8
2313.3,67.6,25,Road,89.7,1.4,9.35
2744.8,7.2,23,Road,56.9,3.2,6.96
864.9,77.5,17,Road,50.8,2.9,6.68
1233.6,73.6,21,Road,50.9,0.3,6.74
2883.4,69.1,20,Sea,91.2,5.7,15.43
2110.0,28.2,12,Air,24.4,9.0,2.74
3861.8,74.1,13,Road,69.5,5.4,10.87
1544.0,16.9,18,Rail,24.3,0.6,4.01
1203.6,11.6,22,Road,9.2,6.0,3.72
4432.0,4.5,24,Road,95.4,4.8,9.97
4100.6,84.6,33,Road,13.0,9.1,11.19
135.3,28.1,3,Road,68.6,3.6,3.16
3469.4,82.6,17,Multimodal,42.5,7.5,14.37
501.0,24.9,39,Road,83.7,0.4,5.72
128.5,81.7,32,Rail,77.3,7.2,7.1
1235.3,81.4,17,Sea,14.4,0.4,9.41
1215.7,83.2,25,Road,46.8,3.4,7.43
3687.8,44.9,8,Multimodal,2.8,9.5,12.49
3199.4,78.0,35,Multimodal,43.0,7.0,14.57
4417.3,85.6,29,Road,70.0,9.3,12.75
3203.3,29.6,12,Rail,23.2,5.0,5.81
1885.1,38.0,36,Road,81.0,6.1,7.72
3146.7,64.9,9,Road,5.3,5.2,7.88
4497.6,27.4,26,Road,3.5,4.8,8.92
3197.1,68.0,22,Rail,2.7,5.8,7.33
3428.8,7.1,31,Rail,28.0,0.4,6.08
4223.0,47.4,30,Road,46.7,1.9,10.59
515.9,11.4,15,Road,10.7,2.1,2.3
3173.0,26.8,33,Air,99.7,3.8,6.1
3829.4,23.6,3,Road,100.0,4.3,8.95
4294.9,75.6,34,Road,52.0,7.4,12.07
953.3,17.8,17,Rail,56.8,1.7,4.09
2270.2,72.9,5,Multimodal,92.7,5.7,11.7
3064.1,71.6,30,Road,77.0,2.7,10.63
1117.4,45.2,15,Rail,16.8,5.2,4.48
2704.1,21.4,39,Sea,79.2,6.3,14.21
1162.8,20.8,8,Road,23.1,5.8,3.83
1503.9,42.1,38,Sea,43.0,2.2,10.34
1989.6,1.3,28,Road,53.3,7.1,5.77
2383.7,48.1,21,Rail,71.7,6.5,7.16
2024.9,85.8,10,Rail,15.0,9.3,6.77
2221.9,14.3,28,Rail,7.6,6.3,4.62
1347.2,51.8,21,Road,86.6,7.2,7.23
719.5,86.6,28,Sea,82.7,8.1,12.29
217.8,77.5,22,Road,52.3,1.1,6.03
885.9,76.6,38,Road,66.2,7.0,8.06
2620.8,74.1,19,Road,71.9,3.2,9.67
3538.6,28.2,38,Rail,47.7,8.2,7.94
765.8,80.2,24,Rail,25.7,4.8,6.17
493.0,84.7,28,Road,48.1,5.8,6.83
3373.1,44.9,13,Rail,95.1,2.6,8.04
1376.7,32.2,9,Road,83.8,6.5,5.96
4282.0,37.6,9,Rail,46.6,0.4,7.37
3215.9,30.4,21,Road,22.6,7.5,7.93
1473.8,19.5,24,Rail,89.0,1.6,5.75
1306.5,55.9,31,Road,63.8,2.3,7.55
2359.0,50.9,29,Multimodal,40.5,0.0,9.85
360.8,41.9,10,Road,11.2,3.1,3.45
534.0,9.1,4,Road,75.2,3.9,3.22
795.5,71.8,3,Road,31.7,2.3,5.12
3487.4,16.2,13,Air,60.6,2.3,3.75
2314.8,10.8,21,Air,57.0,8.9,3.75
52.5,56.3,8,Road,70.0,3.3,4.5
3032.5,36.2,9,Rail,53.8,7.2,6.22
1909.5,5.9,1,Sea,63.0,2.4,8.57
2301.3,32.3,14,Rail,8.2,8.1,4.54
967.5,69.6,12,Rail,66.5,6.8,6.33
2485.3,55.6,36,Road,19.4,7.6,8.06
4406.3,33.0,22,Road,39.2,4.4,9.69
335.1,17.7,36,Air,51.3,8.8,4.01
1281.2,57.0,16,Air,68.7,3.7,4.99
1097.3,79.9,11,Rail,74.2,6.0,6.91
1122.2,58.3,3,Road,70.5,6.4,6.09
1707.3,73.3,34,Road,9.5,9.5,7.36
3682.4,47.2,25,Sea,38.7,1.3,14.45
4108.3,64.8,26,Air,28.1,1.4,5.94
914.0,80.7,3,Air,39.8,4.6,4.42
2445.6,69.7,20,Sea,64.7,9.2,14.73
2867.9,81.9,31,Rail,19.3,0.2,8.58
2350.6,39.1,1,Road,50.2,2.8,6.14
1956.2,81.4,26,Road,88.5,2.8,9.49
867.9,56.1,25,Air,73.1,3.0,5.16
2199.5,78.4,11,Rail,72.5,0.2,7.64
1808.5,4.0,16,Road,84.9,8.3,5.78
3581.1,59.4,20,Road,39.9,0.1,9.71
3437.4,76.4,38,Rail,75.9,4.8,10.34
607.3,16.1,2,Road,5.9,0.6,2.02
402.9,59.7,29,Road,5.6,8.0,4.67
4087.2,74.3,7,Rail,33.2,7.5,8.29
2412.1,26.3,25,Rail,19.7,7.2,5.34
3860.8,36.8,4,Rail,51.9,7.4,6.55
266.4,51.5,34,Road,18.3,9.4,4.84
2371.7,47.0,25,Sea,97.6,4.2,13.73
2429.7,4.0,8,Road,85.1,8.6,6.3
3873.9,9.3,32,Road,98.3,1.8,10.03
443.8,9.5,18,Sea,80.8,4.5,7.21
1085.8,24.0,11,Rail,95.1,0.1,4.94
1832.4,22.5,37,Sea,36.8,2.8,10.39
3897.0,66.9,39,Rail,49.8,4.6,9.75
4225.3,51.8,36,Rail,24.0,9.1,8.66
4467.3,68.9,10,Road,63.6,3.2,11.31
4316.6,6.8,6,Road,78.8,6.7,8.72
31.7,43.9,16,Road,49.9,8.3,3.91
219.4,29.5,25,Road,29.6,3.3,3.59
668.5,76.6,34,Multimodal,50.8,1.7,8.33
1573.1,63.8,31,Road,6.3,5.9,6.78
3735.5,78.3,8,Air,72.1,2.8,6.48
4017.5,4.7,17,Rail,45.2,6.5,6.06
844.8,65.0,14,Sea,89.8,1.3,9.31
2790.4,48.8,30,Rail,92.3,1.5,8.57
4128.5,74.3,18,Rail,12.6,6.8,8.6
2089.5,45.9,36,Rail,99.6,9.7,8.51
470.4,48.8,21,Road,97.0,2.5,6.32
2062.9,5.1,31,Sea,62.7,7.1,11.45
1694.2,60.3,33,Road,82.5,5.3,8.42
2601.6,24.9,23,Road,1.8,8.4,6.22
1976.8,2.3,38,Rail,97.0,3.9,6.39
83.0,6.4,5,Road,45.6,9.7,1.9
4473.0,86.2,15,Multimodal,91.0,0.8,15.74
2448.2,31.5,30,Multimodal,38.5,9.8,11.68
2134.0,78.2,16,Air,78.8,8.5,6.5
4296.0,86.4,29,Road,41.8,8.7,12.13
705.6,84.9,28,Road,36.3,8.4,6.88
855.6,79.4,6,Air,94.7,8.6,5.68
3637.0,80.6,5,Road,69.9,8.2,10.56
1177.4,26.4,38,Multimodal,84.0,9.0,10.37
3597.5,14.1,25,Multimodal,54.3,4.6,11.52
1225.5,57.7,28,Air,91.8,9.4,6.1
154.2,44.2,1,Road,74.0,3.8,4.11
2329.0,9.3,14,Road,7.2,7.3,4.74
889.1,61.1,19,Air,76.7,7.1,5.62
3411.5,50.9,31,Road,1.9,8.2,8.59
2887.2,77.7,15,Road,82.9,7.4,9.98
4156.6,55.0,19,Rail,33.2,0.4,8.2
3524.5,51.9,38,Multimodal,59.8,7.4,14.43
817.6,39.9,32,Rail,74.9,0.2,6.03
3601.7,41.9,31,Rail,63.7,5.3,8.31
2889.6,85.9,37,Road,67.2,8.4,11.22
3011.9,12.9,26,Rail,89.3,8.3,7.13
3746.0,40.4,25,Multimodal,37.4,8.4,13.61
2584.3,59.2,8,Road,54.7,6.0,7.79
2099.7,39.3,4,Rail,17.5,1.8,4.75
2866.7,25.8,31,Air,46.8,5.1,4.61
1344.3,26.2,32,Sea,15.0,5.2,9.38
825.8,21.4,34,Rail,63.4,3.2,5.0
2776.6,31.3,3,Sea,32.4,4.2,11.46
1056.1,78.5,26,Road,85.9,8.7,8.05
364.2,45.7,4,Road,34.4,5.2,3.53
7.5,22.0,2,Sea,28.7,7.0,5.45
2739.4,34.9,19,Sea,49.1,5.0,12.39
1632.9,10.0,23,Air,17.5,6.2,2.58
3386.6,81.4,25,Air,20.4,0.9,6.03
1691.4,37.0,7,Rail,78.3,9.3,5.79
2189.6,88.2,8,Rail,49.7,4.4,7.54
1834.8,31.6,3,Sea,20.6,7.5,9.63
2929.3,75.4,23,Rail,3.2,6.7,7.25
1605.8,23.4,33,Sea,46.6,8.0,10.78
4337.1,7.3,28,Sea,74.3,0.3,15.32
4213.0,3.3,22,Air,35.1,9.4,2.99
3816.9,54.8,35,Road,24.8,8.3,10.05
4141.7,28.4,34,Road,39.6,8.3,9.92
2023.9,40.2,30,Road,95.9,4.7,8.57
2416.3,73.8,36,Rail,42.3,8.0,8.63
3340.7,22.7,14,Road,26.0,5.8,7.14
3134.2,28.1,9,Rail,56.9,5.0,6.22
4008.6,76.2,22,Rail,81.1,7.8,9.99
3224.9,44.6,28,Road,2.2,6.3,7.81
4490.5,74.6,14,Rail,55.8,0.8,9.3
1571.5,34.0,15,Road,83.6,3.1,6.19
3749.3,36.2,37,Road,21.6,6.2,9.37
3140.9,15.5,24,Sea,92.2,9.0,14.96
3112.8,82.5,34,Road,57.8,9.3,10.9
1469.6,80.8,3,Road,51.7,8.4,6.98
3536.3,88.6,23,Rail,96.4,2.5,10.53
4052.2,36.5,20,Sea,13.0,4.7,14.94
987.4,73.8,15,Road,74.0,4.3,7.28
2816.6,37.6,16,Rail,81.9,4.4,7.02
1767.6,41.2,7,Road,48.9,0.5,5.56
4453.0,74.8,33,Road,0.6,1.7,11.1
2157.4,16.4,19,Rail,52.4,1.5,5.17
1031.3,20.2,18,Rail,15.4,6.2,3.54
1721.5,28.7,18,Rail,56.3,4.1,5.44
2944.0,71.0,3,Sea,73.9,3.2,13.74
347.0,33.9,3,Multimodal,53.1,4.4,5.22
2718.2,32.6,36,Rail,63.1,3.2,7.64
4190.9,89.9,16,Road,10.4,7.6,10.84
3827.4,34.9,23,Sea,9.7,1.7,13.65
309.2,22.7,23,Road,85.1,0.6,4.7
4470.3,56.3,15,Road,4.9,6.5,9.69
3145.8,72.3,9,Road,28.4,2.3,8.64
734.5,6.7,38,Road,93.8,6.4,5.45
60.8,55.9,18,Multimodal,45.9,0.6,5.32
774.9,3.7,38,Sea,67.5,2.5,8.18
3772.6,47.6,6,Rail,22.2,1.5,6.86
102.3,23.5,37,Road,27.1,2.9,3.97
1053.0,27.9,6,Road,50.9,3.3,4.3
3409.1,42.3,21,Road,63.8,5.0,9.3
2639.6,83.5,30,Road,96.0,5.2,10.73
3523.4,64.1,28,Rail,57.4,6.3,9.05
3358.9,84.3,20,Sea,9.6,3.3,14.77
232.5,59.6,19,Rail,36.7,5.3,4.85
4016.8,1.1,14,Road,24.4,9.9,7.22
1025.5,24.3,1,Multimodal,25.4,2.1,4.93
2492.5,81.6,27,Sea,50.5,1.5,13.71
2901.1,58.1,32,Rail,31.7,8.4,7.97
763.0,88.4,29,Rail,28.9,4.1,6.94
4393.2,14.5,31,Road,96.8,8.5,10.72
2199.3,27.1,25,Road,58.4,4.2,6.84
264.1,32.9,7,Road,26.2,0.2,2.92
4218.0,29.7,39,Sea,27.6,3.7,15.95
2640.3,23.1,16,Road,81.1,6.1,7.63
3147.9,40.2,11,Road,88.6,4.5,8.72
2365.7,58.0,18,Road,67.9,4.6,8.19
3757.1,28.4,5,Road,43.1,10.0,7.94
153.9,7.6,2,Air,76.5,5.4,2.37
1211.4,63.9,10,Sea,93.7,7.0,11.55
2116.1,41.6,26,Rail,16.6,7.2,5.88
349.3,50.3,24,Road,86.2,0.0,5.71
3178.1,41.3,26,Rail,84.9,5.5,8.25
1774.5,80.2,16,Rail,36.7,9.6,6.72
1230.6,50.5,25,Road,29.2,7.5,6.34
20.2,83.1,38,Road,56.5,3.4,7.0
3240.6,46.2,6,Road,27.2,3.6,7.64
3753.0,26.7,12,Rail,14.5,3.0,5.62
1780.7,32.3,9,Rail,95.3,6.3,5.74
2541.2,47.2,8,Road,49.1,1.0,7.51
1028.5,47.9,31,Road,47.2,2.9,6.07
2801.8,62.0,32,Rail,12.6,5.0,7.45
59.6,20.6,7,Rail,50.4,5.4,3.11
2201.5,59.5,32,Air,74.3,6.1,6.39
2900.7,70.2,25,Rail,24.8,8.0,7.53
4132.3,61.1,33,Road,36.9,1.6,10.72
1719.1,43.6,28,Road,17.9,2.3,6.3
3444.5,89.3,11,Rail,35.5,8.7,8.34
2691.6,36.7,31,Road,86.1,8.3,8.98
4171.9,10.0,10,Rail,23.7,8.2,5.52
1795.7,74.0,2,Multimodal,3.0,2.1,7.79
1439.3,19.5,4,Rail,53.6,0.6,3.87
3992.7,64.3,22,Road,57.9,5.2,10.8
226.4,16.5,28,Rail,32.9,8.7,3.38
618.1,2.0,10,Rail,64.2,2.4,3.09
375.4,14.8,2,Rail,3.8,9.0,1.76
3794.8,34.2,31,Multimodal,34.1,1.4,11.8
52.7,10.0,23,Road,14.5,3.0,2.28
3878.1,18.2,16,Multimodal,23.0,3.0,10.62
2033.4,68.9,9,Air,38.3,1.5,4.52
23.1,69.4,6,Road,49.3,8.7,4.55
1810.4,73.7,25,Road,9.3,4.1,7.37
844.7,75.8,4,Road,10.1,1.9,4.65
2811.7,38.1,12,Road,67.4,1.5,7.83
3058.7,78.1,24,Road,40.4,4.2,9.86
2196.4,47.6,27,Rail,17.7,0.2,6.16
187.1,42.6,3,Road,23.5,1.2,2.85
2954.3,64.8,12,Road,72.0,0.0,9.22
3790.0,19.6,30,Sea,5.2,0.2,12.94
3242.9,71.2,12,Road,50.9,10.0,9.28
3735.7,38.9,22,Sea,36.0,4.5,15.02
906.3,11.9,15,Road,81.1,7.3,4.37
4000.6,11.2,28,Road,79.0,7.4,9.62
1453.3,15.3,17,Rail,68.9,8.8,4.79
65.3,80.2,25,Rail,38.5,1.0,5.79
3796.0,89.2,3,Air,63.1,5.3,6.07
4238.5,32.4,36,Sea,64.0,3.2,16.81
2951.7,26.6,31,Sea,33.2,5.5,13.07
1045.3,20.1,15,Road,88.0,3.3,5.25
1136.6,74.2,28,Road,98.5,1.8,8.5
2102.3,19.2,31,Sea,31.4,6.7,11.67
4040.8,83.2,20,Sea,80.1,0.4,17.02
677.4,60.2,21,Multimodal,50.1,9.0,9.03
3717.8,80.8,27,Road,46.4,1.5,11.17
1314.4,50.1,19,Road,38.7,6.2,5.96
3639.6,62.3,36,Sea,29.2,7.5,16.71
4141.6,55.9,12,Road,92.0,0.7,11.18
1926.6,74.9,35,Multimodal,74.1,9.0,13.03
1645.9,75.3,33,Air,44.1,3.6,6.3
3611.0,53.3,36,Road,75.2,10.0,10.91
2385.0,57.1,23,Sea,71.9,0.7,12.34
3081.6,83.0,13,Sea,26.7,7.2,15.29
2804.6,83.7,30,Road,17.6,1.6,9.5
692.2,60.0,10,Air,83.6,4.0,4.72
3802.3,1.2,20,Rail,81.1,4.4,6.8
885.0,9.8,6,Sea,99.7,4.1,7.76
4195.6,77.3,31,Road,1.9,3.4,10.62
1131.3,8.1,19,Air,54.0,7.7,3.04
3303.8,19.6,3,Road,70.1,8.2,7.29
1284.5,21.1,10,Road,58.3,3.4,4.76
1433.4,54.2,10,Air,71.0,4.8,4.9
1398.5,52.1,21,Road,13.7,4.2,5.66
3366.8,26.4,2,Road,0.2,5.9,6.21
2507.9,19.1,39,Multimodal,9.3,1.5,8.71
3973.9,68.9,30,Multimodal,38.0,8.1,15.43
1386.6,84.2,28,Rail,32.9,8.0,7.21
3115.5,5.2,18,Rail,87.4,5.9,6.42
3389.5,12.4,14,Road,8.4,7.5,6.65
685.9,58.0,19,Road,44.3,9.9,5.23
1805.6,72.5,36,Road,95.8,9.2,9.53
2175.3,71.3,12,Rail,50.3,6.1,6.99
1603.8,64.9,20,Sea,13.2,5.1,10.71
1452.9,79.9,34,Sea,29.1,5.3,12.16
3090.5,20.0,36,Sea,62.7,4.7,14.13
975.3,10.1,21,Road,1.2,4.8,3.03
3193.7,55.6,19,Rail,96.8,7.3,8.65
4208.0,74.1,35,Road,56.7,9.9,12.32
2545.6,52.6,8,Rail,70.4,0.5,6.89
2753.4,86.7,22,Road,49.9,2.3,9.56
314.9,71.7,38,Air,95.8,2.1,6.8
3890.8,63.2,18,Road,58.9,8.3,10.4
1288.1,5.9,8,Road,66.2,4.2,4.28
2769.7,10.1,2,Road,86.1,5.3,6.66
4406.1,70.7,20,Sea,86.2,4.7,18.46
2681.8,18.2,5,Rail,2.8,8.5,4.05
3262.6,3.1,30,Road,28.3,5.0,7.15
2006.7,82.0,18,Road,24.6,6.7,7.67
276.3,80.2,23,Sea,0.7,0.2,6.94
3590.2,20.1,2,Road,87.7,6.5,7.87
162.3,70.3,37,Sea,31.7,2.4,8.14
3154.5,4.8,32,Sea,34.7,8.7,13.38
108.0,26.0,1,Road,10.0,7.5,1.53
3881.1,56.3,39,Road,99.0,1.1,12.37
713.6,68.8,1,Multimodal,82.6,1.0,7.1
2316.7,1.4,31,Road,57.2,2.9,6.14
2689.2,29.7,39,Road,77.2,1.3,8.96
2061.7,19.7,8,Sea,77.7,7.4,11.33
1536.7,89.9,3,Multimodal,65.7,9.9,11.45
2107.8,60.6,12,Multimodal,17.4,6.6,9.71
1404.8,36.8,34,Sea,72.0,2.5,10.56
1974.4,7.3,25,Road,57.0,5.6,5.69
1618.3,54.1,36,Road,72.4,8.1,8.24
2550.1,57.9,7,Sea,54.3,9.6,14.01
1074.5,73.6,15,Rail,95.6,0.1,7.25
4449.0,26.3,21,Road,62.7,5.2,9.79
2256.4,88.3,25,Air,57.4,4.5,6.94
877.8,39.8,38,Road,84.3,4.1,6.79
2149.4,27.0,37,Rail,37.9,5.0,6.24
3899.5,31.7,16,Road,31.6,4.0,8.63
103.0,47.0,1,Rail,50.3,3.4,3.51
3059.6,84.3,37,Road,58.4,1.1,11.41
2468.1,66.3,14,Road,22.0,5.0,7.59
767.2,52.2,34,Road,68.2,8.2,6.56
3679.6,15.1,2,Rail,80.2,1.0,6.43
1663.1,13.9,31,Sea,57.7,7.4,11.11
1325.6,45.4,19,Rail,52.3,2.7,5.3
3727.4,65.7,19,Multimodal,29.5,3.8,12.68
2875.2,67.7,23,Road,91.0,9.9,10.07
4042.7,20.7,30,Road,75.4,6.8,10.27
2836.3,9.5,17,Air,48.0,7.2,3.16
3335.0,34.9,2,Road,65.9,6.0,8.14
3764.8,82.7,11,Multimodal,33.7,3.2,13.21
251.1,49.3,14,Road,6.0,6.8,3.24
3493.3,29.1,29,Multimodal,20.4,4.6,11.63
2763.6,29.5,19,Road,7.9,8.3,6.52
317.4,12.3,28,Air,50.8,5.7,3.08
2291.1,42.9,1,Rail,62.2,7.7,5.6
375.6,71.3,5,Multimodal,38.0,8.5,7.58
3313.1,87.2,34,Road,53.0,8.2,11.2
2461.5,45.4,14,Rail,8.5,4.0,5.52
4291.3,15.5,19,Multimodal,77.0,3.7,12.77
828.2,61.6,24,Rail,3.3,8.7,5.0
2729.1,68.2,17,Rail,63.4,1.4,7.98
956.1,6.9,2,Rail,43.3,2.8,2.68
2765.2,76.6,31,Rail,18.4,1.2,7.76
3253.3,74.7,17,Rail,52.3,0.4,8.53
3251.8,42.8,8,Rail,78.1,6.2,7.08
3668.8,50.7,17,Air,41.4,9.0,4.9
3841.7,64.4,38,Road,36.8,1.3,10.89
352.3,61.1,26,Road,14.2,8.0,4.84
1548.0,2.0,7,Multimodal,59.5,3.8,6.49
3093.6,11.5,24,Air,82.8,6.2,4.61
2246.1,15.1,30,Rail,56.1,7.6,5.81
862.1,68.1,26,Rail,16.5,7.1,5.48
2489.4,39.9,30,Road,66.1,1.4,8.5
1836.4,49.3,35,Road,3.0,1.2,6.6
1758.2,69.7,2,Rail,83.8,9.2,6.78
3644.8,31.0,4,Road,92.1,0.8,8.72
1837.2,67.5,5,Rail,59.7,2.2,6.29
123.9,40.1,2,Road,88.2,4.4,4.33
266.0,34.3,31,Multimodal,8.5,8.2,6.43
3853.8,30.3,27,Multimodal,22.8,6.0,12.32
4322.9,86.9,24,Rail,31.7,5.7,9.69
3099.4,69.6,4,Rail,77.3,6.9,8.02
1642.8,2.3,28,Road,48.4,8.0,5.01
4224.0,86.2,5,Sea,34.8,2.3,16.1
2984.3,69.9,27,Rail,15.8,0.2,7.5
3800.3,13.9,5,Road,81.1,1.3,8.15
3447.5,7.3,5,Air,2.1,1.7,1.57
1709.2,28.1,9,Sea,33.7,0.4,8.51
2156.8,56.4,27,Multimodal,24.3,7.5,11.19
841.7,55.7,4,Sea,12.9,8.8,8.95
1317.6,25.2,24,Rail,17.2,7.1,4.33
3502.7,40.4,27,Road,49.4,1.9,9.31
4023.4,19.5,1,Multimodal,42.6,6.1,11.72
3261.4,5.0,32,Air,51.8,5.2,4.04
2096.0,46.8,16,Road,72.8,8.2,7.38
393.9,31.6,23,Road,89.2,9.4,5.55
261.0,49.1,28,Road,11.8,7.4,4.38
1687.6,85.2,20,Sea,8.3,5.1,11.8
2089.9,13.3,17,Multimodal,32.0,5.1,8.4
2743.0,0.7,36,Road,54.6,8.1,6.9
34.2,7.4,8,Rail,10.0,1.2,1.32
4453.8,41.9,18,Road,71.6,1.5,10.66
1640.9,63.8,13,Multimodal,55.6,3.4,9.31
3817.2,52.5,9,Sea,74.8,7.5,16.6
2409.7,44.8,37,Sea,35.8,0.7,11.89
591.3,32.2,30,Rail,40.1,3.4,4.9
