origin_city,destination_city,distance_km,transport_mode,shipment_weight_kg,quantity,product_category,traffic_density_index,shipping_cost_inr
Bengaluru,Delhi,1146.4,Rail,831.4,9,Heavy Machinery,6.3,24781.12
Chennai,Pune,2328.8,Road,952.3,98,Consumer Goods,5.9,95564.54
Ahmedabad,Pune,1958.4,Sea,263.8,11,Heavy Machinery,4.8,8758.75
Delhi,Hyderabad,1235.0,Sea,2448.7,23,Consumer Goods,2.1,44132.26
Kolkata,Bengaluru,2719.7,Road,1983.7,25,Automotive Components,2.0,215526.86
Visakhapatnam,Mumbai,231.9,Sea,2968.5,82,Automotive Components,8.9,12057.25
Kolkata,Ahmedabad,1164.1,Rail,3459.2,7,Heavy Machinery,3.2,93239.3
Visakhapatnam,Delhi,963.4,Road,2996.9,33,Consumer Goods,3.4,123932.81
Ahmedabad,Kochi,2629.8,Sea,1428.4,55,Automotive Components,2.2,50727.01
Visakhapatnam,Hyderabad,413.6,Sea,459.1,93,Textiles,4.5,4426.54
Kochi,Mumbai,1814.3,Road,3673.5,6,Automotive Components,6.6,277809.3
Visakhapatnam,Kochi,2049.1,Sea,1580.1,4,Consumer Goods,5.9,46444.25
Ahmedabad,Pune,638.1,Sea,1272.9,81,Textiles,1.3,11868.97
Visakhapatnam,Delhi,547.4,Rail,3468.0,90,Automotive Components,5.2,45417.43
Pune,Visakhapatnam,276.8,Road,2237.3,17,Consumer Goods,4.8,27702.32
Pune,Bengaluru,571.0,Road,1062.4,28,Heavy Machinery,3.4,25837.64
Chennai,Mumbai,2291.8,Air,3844.4,2,Heavy Machinery,6.8,1218297.16
Hyderabad,Mumbai,2651.5,Rail,4041.6,74,Automotive Components,9.5,271606.65
Pune,Kolkata,2538.8,Rail,4927.2,95,Consumer Goods,7.3,304190.06
Ahmedabad,Chennai,1118.1,Air,2366.5,37,Consumer Goods,2.6,349619.69
Visakhapatnam,Mumbai,2073.6,Road,231.5,83,Consumer Goods,6.9,22970.17
Hyderabad,Mumbai,2341.7,Road,2610.4,9,Consumer Goods,2.4,245221.06
Visakhapatnam,Pune,2303.1,Rail,165.1,58,Heavy Machinery,5.9,10977.32
Pune,Chennai,316.1,Road,4740.5,90,Textiles,9.7,66100.45
Pune,Hyderabad,719.3,Rail,915.3,98,Heavy Machinery,9.7,17701.99
Delhi,Hyderabad,2638.2,Sea,4630.7,82,Heavy Machinery,8.9,193585.04
Hyderabad,Ahmedabad,2110.8,Road,4752.6,82,Automotive Components,4.3,393478.77
Pune,Bengaluru,2361.0,Sea,3888.5,11,Heavy Machinery,7.3,141722.08
Kochi,Hyderabad,1512.4,Air,482.2,46,Heavy Machinery,2.5,100379.88
Ahmedabad,Kochi,1191.6,Air,2813.9,60,Pharmaceuticals,9.4,494587.35
Kolkata,Delhi,1875.7,Rail,1803.6,13,Automotive Components,5.1,80896.98
Pune,Hyderabad,1403.1,Sea,4110.1,34,Textiles,6.1,85644.82
Visakhapatnam,Mumbai,1140.5,Sea,1546.0,81,Automotive Components,4.5,26808.21
Ahmedabad,Kolkata,1071.9,Sea,2283.7,94,Automotive Components,4.7,34855.79
Bengaluru,Delhi,568.5,Road,2889.8,19,Pharmaceuticals,4.4,70960.86
Chennai,Visakhapatnam,1552.9,Rail,224.8,64,Pharmaceuticals,5.3,9614.11
Chennai,Hyderabad,1527.6,Road,3064.0,27,Heavy Machinery,8.7,204415.97
Chennai,Hyderabad,1715.5,Road,1754.1,30,Consumer Goods,8.6,129835.66
Mumbai,Visakhapatnam,458.0,Rail,2669.4,19,Consumer Goods,4.0,29179.62
Kochi,Hyderabad,2574.5,Road,667.9,59,Heavy Machinery,2.0,68719.65
Kochi,Chennai,2116.4,Rail,1712.3,27,Textiles,5.0,84707.64
Pune,Kolkata,497.1,Air,2929.9,75,Textiles,1.0,184937.99
Ahmedabad,Hyderabad,360.3,Road,2879.3,34,Pharmaceuticals,7.7,45832.25
Pune,Chennai,1853.7,Sea,831.9,37,Heavy Machinery,1.0,22987.13
Kochi,Bengaluru,1055.0,Road,2102.8,16,Automotive Components,2.9,89903.42
Ahmedabad,Hyderabad,995.5,Rail,2621.5,83,Automotive Components,2.4,60544.31
Visakhapatnam,Mumbai,2376.0,Road,452.1,60,Automotive Components,8.9,48658.27
Ahmedabad,Mumbai,1064.6,Road,3016.9,53,Textiles,10.0,158230.79
Bengaluru,Pune,1825.3,Sea,1197.0,67,Pharmaceuticals,2.3,31958.88
Chennai,Mumbai,1573.2,Rail,4605.0,40,Consumer Goods,6.1,179838.55
Bengaluru,Pune,846.9,Rail,1379.3,2,Automotive Components,8.4,31361.96
Hyderabad,Kochi,1028.8,Air,3947.4,37,Heavy Machinery,4.2,558824.5
Bengaluru,Mumbai,2649.5,Road,2931.7,12,Textiles,3.3,318856.9
Kolkata,Ahmedabad,1028.1,Road,3442.5,18,Pharmaceuticals,3.6,144668.18
Visakhapatnam,Hyderabad,2227.6,Rail,4513.7,73,Heavy Machinery,3.9,231172.16
Visakhapatnam,Kochi,2432.4,Road,4246.7,31,Automotive Components,3.3,411575.37
Kochi,Chennai,338.3,Rail,682.3,49,Heavy Machinery,1.6,6659.05
Delhi,Kolkata,1907.2,Sea,4672.0,48,Textiles,9.3,134949.26
Ahmedabad,Chennai,2135.5,Rail,736.4,61,Pharmaceuticals,9.1,41171.03
Ahmedabad,Kochi,1300.2,Rail,1616.1,30,Pharmaceuticals,8.7,52663.5
Visakhapatnam,Hyderabad,1658.7,Rail,2639.5,51,Heavy Machinery,7.9,111449.61
Hyderabad,Pune,578.8,Road,4670.1,81,Heavy Machinery,7.7,116436.86
Bengaluru,Kolkata,994.0,Rail,3154.6,77,Automotive Components,7.4,74216.96
Bengaluru,Visakhapatnam,2025.3,Road,4381.0,60,Heavy Machinery,8.7,400028.69
Pune,Mumbai,1746.8,Road,4711.5,15,Consumer Goods,1.5,312066.65
Ahmedabad,Chennai,511.4,Rail,3755.0,71,Pharmaceuticals,7.9,48603.01
Pune,Bengaluru,2768.3,Sea,2435.4,42,Pharmaceuticals,8.8,107116.75
Kolkata,Visakhapatnam,2635.1,Road,1970.7,80,Consumer Goods,6.8,226158.04
Chennai,Hyderabad,743.9,Rail,1412.1,54,Pharmaceuticals,8.6,26915.47
Visakhapatnam,Pune,2469.1,Rail,2557.6,65,Automotive Components,3.7,140989.17
Mumbai,Visakhapatnam,858.0,Air,287.8,16,Consumer Goods,4.3,35833.8
Kolkata,Hyderabad,1643.9,Road,1179.3,42,Textiles,6.5,85488.05
Kochi,Bengaluru,2222.4,Sea,1823.7,65,Heavy Machinery,2.3,55973.04
Kolkata,Pune,1061.8,Sea,4274.2,44,Consumer Goods,2.7,65156.51
Chennai,Kolkata,1621.1,Rail,1911.7,1,Automotive Components,9.9,77218.04
Delhi,Kochi,1343.4,Rail,1235.6,50,Consumer Goods,8.1,43223.88
Delhi,Bengaluru,2164.5,Road,3924.3,61,Pharmaceuticals,2.0,344525.14
Mumbai,Delhi,1418.5,Rail,4718.6,86,Pharmaceuticals,2.1,143675.26
Delhi,Kochi,1652.3,Road,3885.2,92,Pharmaceuticals,4.5,268844.41
Chennai,Mumbai,2390.7,Sea,672.6,35,Pharmaceuticals,10.0,26562.16
Kochi,Mumbai,2001.4,Road,1635.6,18,Automotive Components,9.8,154766.29
Chennai,Pune,1547.9,Road,3034.3,55,Heavy Machinery,5.3,208804.96
Kochi,Visakhapatnam,1372.4,Sea,1020.3,48,Pharmaceuticals,5.0,20695.19
Pune,Bengaluru,485.9,Rail,3201.1,44,Automotive Components,6.3,38664.73
Chennai,Mumbai,299.4,Road,1218.3,11,Automotive Components,7.0,17380.7
Visakhapatnam,Kolkata,2674.9,Road,2736.4,17,Automotive Components,3.4,291160.44
Ahmedabad,Hyderabad,644.3,Rail,3548.5,39,Textiles,2.5,50592.46
Hyderabad,Chennai,883.7,Road,3944.7,37,Textiles,8.4,155184.85
Kochi,Delhi,1769.0,Road,4012.8,95,Consumer Goods,4.2,287987.95
Hyderabad,Pune,2344.0,Rail,3885.0,41,Automotive Components,1.4,203875.81
Kolkata,Chennai,2357.8,Road,728.7,55,Textiles,8.7,79951.76
Chennai,Visakhapatnam,2348.6,Road,4947.2,96,Textiles,7.6,506356.15
Kochi,Pune,2741.9,Road,3872.2,62,Consumer Goods,7.5,467212.96
Kolkata,Kochi,297.6,Road,565.5,33,Pharmaceuticals,6.9,8884.05
Visakhapatnam,Bengaluru,1209.6,Rail,3503.0,50,Heavy Machinery,4.7,98015.82
Kochi,Bengaluru,2571.0,Rail,2376.5,38,Heavy Machinery,9.0,150655.46
Bengaluru,Kolkata,1388.4,Rail,2168.4,16,Automotive Components,4.3,67385.12
Ahmedabad,Kochi,2458.9,Rail,3399.2,34,Consumer Goods,3.4,191831.26
Mumbai,Delhi,196.8,Rail,881.1,78,Textiles,5.9,5531.15
Ahmedabad,Pune,1486.6,Rail,4997.2,36,Automotive Components,5.2,173904.89
Ahmedabad,Delhi,2594.5,Rail,2745.2,15,Pharmaceuticals,1.3,152477.32
Mumbai,Visakhapatnam,842.4,Road,2993.4,81,Heavy Machinery,3.6,108595.93
Pune,Kochi,2613.6,Sea,2154.7,56,Automotive Components,4.4,82700.23
Ahmedabad,Kochi,172.5,Rail,3049.3,57,Textiles,8.1,14357.36
Pune,Bengaluru,359.2,Air,3336.9,73,Pharmaceuticals,4.6,165707.03
Kolkata,Kochi,1413.6,Road,1760.2,78,Consumer Goods,9.5,109578.01
Delhi,Chennai,431.9,Road,2337.3,88,Heavy Machinery,7.7,45327.21
Delhi,Visakhapatnam,747.8,Air,1315.2,11,Heavy Machinery,8.4,142585.75
Ahmedabad,Pune,938.4,Rail,3871.2,93,Heavy Machinery,9.0,94270.21
Chennai,Bengaluru,1426.0,Rail,3700.0,89,Textiles,2.8,115569.18
Kochi,Visakhapatnam,1184.9,Rail,4064.1,68,Automotive Components,8.2,118533.09
Ahmedabad,Pune,2593.7,Road,3529.0,96,Textiles,2.7,377039.91
Kochi,Ahmedabad,2497.9,Sea,149.5,32,Heavy Machinery,5.9,7020.18
Kolkata,Visakhapatnam,2132.4,Road,996.2,67,Automotive Components,3.8,88774.75
Delhi,Chennai,1897.2,Air,1973.6,6,Textiles,5.5,533125.11
Kochi,Pune,691.5,Rail,1209.2,19,Heavy Machinery,2.9,20032.0
Mumbai,Visakhapatnam,1744.8,Road,2681.9,17,Heavy Machinery,9.7,210563.38
Hyderabad,Chennai,539.7,Sea,4495.7,48,Consumer Goods,7.0,38398.85
Chennai,Kochi,1349.7,Sea,3703.4,64,Textiles,3.3,70896.56
Ahmedabad,Chennai,1373.0,Rail,1369.4,5,Consumer Goods,3.1,43333.35
Chennai,Ahmedabad,1977.7,Rail,2018.0,74,Automotive Components,2.4,89816.44
Ahmedabad,Visakhapatnam,2363.1,Air,307.2,91,Consumer Goods,8.0,106487.46
Ahmedabad,Visakhapatnam,999.3,Rail,80.9,36,Heavy Machinery,5.3,3311.81
Hyderabad,Kolkata,259.1,Sea,2154.4,96,Pharmaceuticals,9.0,10139.36
Kolkata,Ahmedabad,274.5,Rail,3653.3,57,Automotive Components,1.0,23223.67
Kochi,Ahmedabad,2468.3,Rail,4311.0,85,Textiles,5.5,238778.21
Ahmedabad,Mumbai,1438.8,Air,2185.8,96,Consumer Goods,5.4,435709.77
Ahmedabad,Chennai,807.2,Road,942.3,43,Textiles,9.8,37597.83
Hyderabad,Pune,235.6,Rail,1343.8,98,Pharmaceuticals,7.5,9404.91
Ahmedabad,Kochi,1551.2,Road,2255.1,79,Automotive Components,5.9,146541.34
Visakhapatnam,Mumbai,513.3,Rail,3265.5,73,Heavy Machinery,6.2,41486.56
Kolkata,Ahmedabad,1255.1,Road,2737.0,2,Consumer Goods,7.3,143194.21
Pune,Mumbai,1517.6,Sea,4211.0,45,Consumer Goods,9.3,100046.21
Kolkata,Mumbai,757.4,Road,141.7,70,Automotive Components,1.6,6043.28
Bengaluru,Hyderabad,676.9,Road,4961.0,91,Pharmaceuticals,1.6,135281.94
Hyderabad,Kochi,202.5,Air,4649.6,85,Automotive Components,2.8,125585.9
Mumbai,Pune,1701.6,Road,790.7,34,Consumer Goods,5.0,58046.42
Kochi,Mumbai,681.2,Rail,288.4,22,Heavy Machinery,4.1,6305.52
Mumbai,Bengaluru,2477.3,Sea,3107.4,8,Consumer Goods,1.5,101367.17
Visakhapatnam,Chennai,1750.0,Road,3620.9,20,Pharmaceuticals,6.4,272261.65
Kolkata,Ahmedabad,1624.5,Road,2402.6,58,Textiles,8.6,178674.56
Delhi,Ahmedabad,1487.4,Sea,1427.4,38,Textiles,1.5,28076.09
Delhi,Bengaluru,720.6,Rail,3213.8,9,Automotive Components,5.7,56841.96
Kochi,Bengaluru,2718.9,Road,3197.4,19,Consumer Goods,9.8,394822.73
Kochi,Visakhapatnam,2712.7,Road,784.2,32,Pharmaceuticals,1.5,84563.29
Mumbai,Pune,1001.4,Sea,4007.5,75,Pharmaceuticals,3.6,57331.9
Pune,Mumbai,2207.0,Rail,3760.1,62,Textiles,5.0,201956.82
Hyderabad,Delhi,466.0,Rail,469.9,92,Textiles,2.6,6369.18
Hyderabad,Chennai,2218.4,Rail,2339.2,36,Automotive Components,6.0,127167.21
Kochi,Pune,908.8,Sea,1997.4,21,Automotive Components,8.7,29029.46
Delhi,Mumbai,916.2,Sea,2339.2,66,Pharmaceuticals,4.3,30683.13
Hyderabad,Mumbai,1494.2,Road,2333.4,71,Automotive Components,1.1,140686.55
Delhi,Bengaluru,1189.7,Air,2644.0,89,Heavy Machinery,6.5,447365.55
Visakhapatnam,Pune,462.3,Rail,1422.2,42,Consumer Goods,8.9,17698.3
Pune,Bengaluru,1721.7,Road,2374.7,57,Heavy Machinery,8.1,175972.33
Visakhapatnam,Pune,716.7,Road,542.5,85,Automotive Components,6.9,19524.57
Pune,Ahmedabad,1327.9,Rail,924.6,77,Heavy Machinery,8.0,31491.41
Visakhapatnam,Pune,762.2,Road,485.8,90,Automotive Components,3.9,16988.84
Delhi,Hyderabad,2422.6,Road,971.6,87,Textiles,5.4,98774.43
Pune,Visakhapatnam,1045.8,Rail,71.4,13,Consumer Goods,4.5,3354.78
Kolkata,Pune,2501.9,Sea,237.3,36,Consumer Goods,1.4,9873.24
Mumbai,Pune,1014.2,Road,3993.3,93,Pharmaceuticals,3.2,164342.74
Kolkata,Chennai,625.7,Road,1035.7,9,Automotive Components,5.5,28865.63
Delhi,Kochi,1678.1,Sea,2623.9,84,Automotive Components,6.8,69677.77
Mumbai,Kochi,1621.1,Air,1883.3,85,Textiles,1.2,369885.71
Bengaluru,Pune,1790.1,Road,1678.7,41,Textiles,9.3,134349.22
Bengaluru,Kochi,950.7,Rail,4292.7,72,Automotive Components,6.4,98017.45
Mumbai,Hyderabad,997.9,Rail,2456.8,26,Textiles,8.5,61373.28
Delhi,Ahmedabad,779.2,Rail,2608.2,38,Consumer Goods,2.7,47059.81
Ahmedabad,Kochi,2610.3,Road,2322.6,91,Consumer Goods,6.6,262650.31
Bengaluru,Kolkata,1959.8,Rail,1381.2,54,Automotive Components,1.7,59413.52
Ahmedabad,Kolkata,2154.1,Road,3432.1,87,Pharmaceuticals,5.1,318497.8
Kochi,Kolkata,664.5,Road,283.5,95,Consumer Goods,7.3,9750.19
Chennai,Kolkata,1903.2,Sea,1443.3,14,Consumer Goods,7.0,43090.05
Chennai,Kochi,2171.1,Road,3324.5,17,Automotive Components,3.1,288759.37
Kolkata,Bengaluru,1057.5,Road,215.4,62,Consumer Goods,2.0,10592.42
Kochi,Delhi,567.9,Road,177.3,72,Consumer Goods,4.2,6008.49
Bengaluru,Pune,1997.1,Road,1895.2,62,Automotive Components,6.5,162367.35
Bengaluru,Pune,1769.5,Sea,1293.3,63,Consumer Goods,1.8,33320.27
Visakhapatnam,Hyderabad,1675.4,Road,3519.8,10,Automotive Components,8.5,257765.03
Kolkata,Chennai,633.8,Rail,3791.9,15,Pharmaceuticals,5.5,56903.42
Delhi,Hyderabad,845.6,Road,229.4,58,Textiles,8.7,10361.46
Chennai,Pune,1805.9,Road,2210.2,95,Automotive Components,6.8,173331.48
Visakhapatnam,Mumbai,1776.0,Road,4718.9,23,Consumer Goods,9.8,390907.2
Kolkata,Bengaluru,1620.0,Air,1599.2,34,Heavy Machinery,5.4,366438.84
Ahmedabad,Delhi,2185.6,Air,1024.9,23,Textiles,7.5,336724.6
Pune,Kolkata,2308.8,Road,2630.4,85,Pharmaceuticals,5.4,260453.92
Hyderabad,Kochi,882.8,Road,2282.0,74,Textiles,2.5,86635.72
