distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio,risk_score,disruption_risk_level
188.8,75.4,31,Road,33.6,12.6,1.4,0.86,53.7,1
1351.0,70.9,37,Sea,22.9,57.1,5.8,0.43,60.1,1
1897.3,33.8,6,Sea,38.3,79.4,2.4,0.35,51.9,1
4102.5,0.7,37,Road,11.0,86.4,2.7,0.49,48.4,1
575.9,30.3,20,Road,86.0,84.1,7.4,0.07,46.1,1
2845.1,68.9,12,Rail,15.4,89.4,4.9,0.84,65.2,1
3579.2,78.3,18,Rail,52.1,80.2,9.3,0.54,74.5,2
2363.1,40.0,8,Road,1.8,94.8,0.8,0.44,49.5,1
1428.3,2.9,19,Road,6.8,83.1,7.3,0.66,42.1,1
2496.5,50.0,7,Road,34.7,44.0,3.5,0.17,46.8,1
1859.6,9.1,5,Rail,27.3,13.4,5.4,0.65,35.7,0
4105.5,65.3,27,Rail,0.7,16.0,5.5,0.89,62.9,1
1550.8,56.5,8,Road,13.9,53.1,7.0,0.39,48.1,1
2004.4,14.0,5,Sea,18.8,58.0,2.5,0.1,36.0,0
1194.9,72.4,22,Rail,65.0,70.2,7.6,0.37,57.6,1
3958.3,29.2,1,Road,3.6,58.4,0.3,0.15,39.1,0
1760.4,71.9,24,Rail,81.1,46.9,9.0,0.79,70.9,2
1444.0,84.6,5,Road,8.6,88.5,7.4,0.67,64.3,1
4198.6,46.4,1,Road,53.1,20.0,1.7,0.81,68.6,1
3057.3,3.2,20,Air,38.2,1.3,5.2,0.95,47.0,1
2222.3,39.6,22,Sea,0.5,80.5,2.3,0.92,63.0,1
4248.9,46.4,28,Rail,50.5,69.9,2.6,0.05,52.5,1
84.1,23.6,18,Road,97.2,47.0,1.3,0.16,41.1,1
276.6,29.9,1,Road,91.7,11.7,7.3,0.23,45.7,1
2075.2,24.5,19,Rail,62.1,71.1,1.1,0.94,57.5,1
4304.6,44.3,32,Rail,19.0,51.8,9.1,0.53,59.4,1
2380.1,13.1,33,Sea,99.7,42.7,8.3,0.35,65.7,1
3384.0,20.4,3,Road,65.1,33.9,7.7,0.54,57.3,1
2784.1,50.1,26,Road,87.3,79.1,6.6,0.26,66.7,1
139.6,89.7,34,Sea,47.7,99.7,3.9,0.73,71.8,2
1445.0,80.6,18,Sea,47.4,72.6,2.7,0.18,59.6,1
3296.1,39.1,15,Road,46.6,83.4,7.9,0.87,72.8,2
2484.3,2.3,22,Road,10.9,7.4,4.3,0.14,23.8,0
3507.2,56.8,3,Rail,16.8,56.9,8.5,0.84,62.5,1
907.0,48.1,19,Road,5.8,72.8,1.7,0.93,56.2,1
832.6,40.4,39,Rail,90.5,26.4,1.7,0.81,54.5,1
2248.1,47.4,12,Road,28.6,21.7,2.0,0.14,42.7,1
4042.0,48.8,33,Road,35.2,26.5,5.5,0.06,49.5,1
334.5,52.3,31,Multimodal,59.6,37.6,7.0,0.36,49.5,1
4319.2,4.0,5,Rail,31.9,28.3,3.2,0.09,36.1,0
1276.3,37.9,10,Sea,46.0,64.3,1.6,0.35,51.7,1
102.9,51.5,36,Rail,6.8,91.8,1.5,0.37,34.4,0
1598.0,45.7,20,Rail,38.1,83.4,5.4,0.75,55.8,1
1607.9,65.6,34,Road,1.0,55.5,9.8,0.5,49.2,1
800.4,89.4,18,Rail,55.0,0.5,3.7,0.88,60.9,1
3788.3,23.0,31,Road,42.6,15.2,6.4,0.28,47.7,1
4145.5,51.4,28,Rail,51.3,44.1,2.5,0.23,55.4,1
1957.9,79.6,19,Rail,12.2,40.0,2.3,0.63,52.1,1
3318.9,57.6,24,Road,2.9,77.6,8.0,0.75,66.1,1
1202.7,64.2,32,Road,96.1,19.0,3.5,0.08,54.0,1
1512.9,1.6,37,Road,42.9,48.7,6.3,0.94,52.0,1
2043.6,64.9,12,Rail,46.6,6.5,5.6,0.71,55.8,1
1683.1,69.0,35,Multimodal,37.3,33.6,3.8,0.49,54.1,1
4045.2,10.9,30,Road,2.3,57.5,2.5,0.91,56.5,1
947.6,2.5,38,Multimodal,13.6,68.9,0.0,0.11,19.5,0
110.7,42.6,5,Sea,86.0,59.4,4.8,0.38,59.6,1
926.1,19.8,19,Sea,44.8,65.7,6.3,0.95,61.2,1
3973.6,75.6,36,Sea,89.2,85.7,4.8,0.64,91.9,2
2036.4,36.1,27,Road,54.5,44.8,4.8,0.07,44.3,1
3375.6,74.2,10,Air,50.7,16.0,7.4,0.78,68.4,1
3426.2,44.2,26,Sea,0.7,19.1,7.5,0.69,64.5,1
871.6,12.2,7,Road,73.7,74.6,4.9,0.22,41.5,1
4334.2,64.9,4,Road,63.1,98.6,6.0,0.42,76.4,2
3051.8,79.7,23,Road,3.3,30.6,5.6,0.86,69.0,1
2442.7,20.3,32,Rail,0.5,77.4,6.6,0.71,44.6,1
3411.9,77.2,3,Rail,62.5,23.7,0.5,0.47,63.7,1
135.7,85.3,32,Rail,58.7,47.8,2.1,0.46,53.8,1
2825.4,34.4,39,Rail,88.5,94.6,8.5,0.53,64.8,1
3551.8,87.9,14,Road,18.7,57.4,6.8,0.62,74.2,2
3225.7,75.1,11,Air,21.4,42.4,1.9,0.86,65.6,1
1242.9,20.1,4,Road,57.1,31.3,3.6,0.69,47.9,1
2567.7,81.8,26,Road,68.8,89.0,5.1,0.74,82.4,2
4143.4,89.8,21,Road,99.2,39.6,2.2,0.78,87.8,2
4348.5,9.5,35,Road,91.5,96.6,0.3,0.91,76.8,2
3680.5,71.6,22,Road,78.9,66.4,1.5,0.26,71.1,2
3097.1,81.9,4,Rail,88.3,73.5,7.4,0.05,67.8,1
1801.1,55.8,5,Road,50.3,35.8,3.3,0.81,61.0,1
67.5,38.5,1,Road,40.4,92.3,1.2,0.6,47.7,1
3899.1,23.9,1,Road,10.0,8.7,7.0,0.43,44.1,1
3281.7,68.0,31,Multimodal,57.6,49.6,8.8,0.09,64.9,1
1153.1,1.0,17,Sea,36.6,41.2,8.5,0.44,45.7,1
591.5,86.7,9,Rail,85.8,18.9,2.7,0.1,49.8,1
3092.1,77.6,13,Road,12.5,57.9,8.9,0.83,67.4,1
3471.6,89.6,3,Road,78.0,83.6,6.8,0.43,81.4,2
1794.2,61.0,30,Road,86.7,71.7,2.0,0.58,70.8,2
991.5,75.7,27,Road,35.1,25.6,7.8,0.63,58.1,1
2832.4,35.8,22,Sea,80.8,91.6,8.6,0.12,67.2,1
615.9,24.1,2,Road,57.2,73.5,5.6,0.36,47.7,1
988.3,15.3,22,Road,79.3,69.9,8.9,0.69,54.2,1
2315.9,83.2,2,Road,47.8,66.0,3.5,0.84,74.7,2
3831.3,44.2,8,Sea,26.6,69.4,4.3,0.22,62.6,1
2692.9,38.2,11,Road,52.0,56.4,3.8,0.66,60.0,1
4150.5,4.6,8,Road,6.3,58.6,6.5,0.24,42.1,1
4054.2,62.7,2,Rail,17.4,66.1,9.3,0.83,68.9,1
539.5,44.8,24,Sea,67.3,64.2,1.1,0.06,43.7,1
1473.1,41.0,19,Road,20.6,90.6,2.7,0.07,39.3,0
933.9,6.4,26,Road,17.5,18.2,0.8,0.48,30.9,0
3563.8,5.7,16,Rail,32.8,46.7,4.0,0.78,51.8,1
205.6,22.2,35,Sea,81.9,50.3,0.2,0.79,55.7,1
4146.6,36.9,38,Air,77.5,80.9,2.2,0.93,76.4,2
2360.7,3.4,37,Road,60.6,86.2,2.9,0.79,56.1,1
1328.3,40.1,4,Road,22.3,79.4,1.9,0.44,44.4,1
3293.5,43.2,35,Road,11.0,54.1,1.4,0.77,59.3,1
3526.0,67.0,39,Rail,6.8,94.9,1.2,0.33,53.0,1
3693.6,75.6,4,Rail,40.1,40.7,1.0,0.07,53.9,1
2457.5,21.0,15,Road,17.1,3.0,4.1,0.48,40.2,1
3199.6,27.5,34,Rail,63.9,28.8,1.9,0.82,58.4,1
894.4,80.7,33,Rail,36.3,56.3,9.5,0.39,53.4,1
1081.4,67.7,31,Road,49.9,72.4,5.3,0.54,62.4,1
487.1,32.0,17,Road,26.5,64.1,6.7,0.67,44.8,1
3676.2,69.6,29,Road,14.5,49.6,7.8,0.46,62.4,1
547.1,29.0,27,Rail,89.9,80.8,6.9,0.49,48.6,1
2122.6,18.8,25,Road,84.0,70.9,7.2,0.94,67.8,1
1902.3,71.6,2,Road,25.3,76.8,5.3,0.25,54.1,1
4246.5,78.4,27,Rail,64.1,54.7,8.4,0.42,71.9,2
692.9,55.7,11,Rail,28.4,22.2,6.9,0.48,40.6,1
3400.6,5.3,16,Rail,16.6,77.9,7.7,0.75,47.8,1
2352.5,68.7,1,Rail,72.8,38.3,8.3,0.61,66.6,1
2471.9,9.3,23,Road,49.2,62.8,0.4,0.9,55.4,1
3813.4,89.6,39,Rail,25.3,36.9,6.1,0.55,69.8,1
2359.6,37.4,36,Road,36.1,89.4,8.7,0.7,61.2,1
4048.1,45.2,12,Road,11.7,93.4,6.7,0.63,64.0,1
1230.3,86.0,8,Road,34.8,92.0,0.3,0.38,58.5,1
914.0,50.4,2,Road,80.8,18.9,9.0,0.06,48.2,1
1866.3,40.7,24,Rail,19.6,89.9,9.4,0.14,40.4,1
1104.0,20.9,22,Sea,68.6,29.1,1.4,0.63,52.1,1
2772.5,60.7,3,Rail,62.6,18.0,5.3,0.2,54.6,1
4241.7,62.5,10,Road,0.5,27.4,5.8,0.32,53.7,1
1258.9,38.4,20,Rail,52.5,92.4,1.1,0.69,52.2,1
1822.8,25.9,39,Air,25.9,66.4,5.7,0.83,49.6,1
3797.7,87.8,11,Multimodal,35.6,21.0,0.3,0.38,61.6,1
3401.9,77.6,17,Rail,27.3,73.7,7.6,0.35,63.3,1
3483.6,28.3,32,Rail,33.2,89.4,1.2,0.59,53.7,1
562.2,4.6,3,Rail,60.2,73.3,9.7,0.43,37.8,0
2714.4,36.6,15,Sea,30.7,31.8,0.7,0.94,61.0,1
2382.9,85.2,8,Air,39.7,9.5,5.9,0.09,46.7,1
1237.3,53.2,3,Rail,41.1,3.4,1.3,0.26,35.9,0
2468.3,28.0,1,Road,80.3,30.7,1.9,0.85,63.8,1
2531.8,30.3,33,Multimodal,48.9,34.5,8.7,0.62,60.1,1
2262.7,38.7,33,Road,37.2,23.9,2.7,0.33,44.7,1
4484.2,72.9,9,Road,52.2,89.6,8.7,0.49,81.5,2
3143.8,36.7,30,Sea,46.0,68.1,3.4,0.12,58.1,1
2335.9,64.6,7,Road,92.7,1.7,0.4,0.61,66.0,1
4298.6,7.7,20,Road,6.1,89.9,1.1,0.61,50.0,1
3601.9,70.8,2,Road,18.6,48.5,5.5,0.25,57.8,1
2883.4,15.7,16,Sea,80.9,42.8,8.3,0.74,74.3,2
2092.1,10.6,33,Rail,28.4,35.2,7.1,0.77,43.6,1
672.4,33.4,20,Road,11.9,14.2,6.3,0.72,38.4,0
4404.0,63.7,1,Road,40.5,44.4,3.5,0.83,75.6,2
142.8,54.9,7,Rail,28.3,59.2,2.9,0.3,36.2,0
2748.1,47.3,28,Road,81.2,13.7,2.0,0.18,53.2,1
2294.5,66.0,20,Rail,87.4,16.6,4.9,0.75,66.8,1
1906.8,43.7,32,Road,12.2,99.4,3.8,0.17,41.6,1
4318.0,8.5,6,Road,96.8,23.7,5.5,0.7,65.9,1
888.1,75.3,31,Rail,79.5,87.0,6.7,0.53,65.7,1
1114.5,43.4,4,Road,39.9,72.4,9.4,0.72,57.2,1
3665.1,77.3,1,Multimodal,35.9,12.4,9.7,0.87,80.7,2
1460.6,16.6,39,Sea,44.8,57.1,10.0,0.7,64.3,1
4236.6,7.3,12,Rail,5.8,22.3,6.5,0.85,48.6,1
420.1,69.4,28,Road,52.2,26.4,5.4,0.83,55.7,1
2802.0,82.9,14,Rail,52.1,17.4,3.7,0.91,69.7,1
851.2,28.0,22,Rail,60.8,69.9,4.1,0.76,50.3,1
3248.1,83.0,21,Rail,56.5,98.1,7.9,0.49,77.1,2
3078.7,84.3,26,Rail,26.2,63.6,4.1,0.78,69.1,1
973.8,48.3,18,Road,32.6,87.1,7.3,0.69,57.9,1
1791.8,82.8,13,Air,34.4,43.4,5.6,0.81,64.8,1
1821.3,83.2,13,Road,15.5,68.0,2.9,0.1,51.0,1
1522.3,54.7,25,Road,62.7,91.1,8.7,0.39,62.4,1
1160.9,83.7,33,Road,0.7,6.9,9.6,0.35,46.9,1
383.5,6.5,16,Road,69.1,69.3,1.5,0.93,54.8,1
471.1,55.7,16,Road,72.1,27.1,4.8,0.31,47.7,1
2959.0,10.9,3,Road,83.5,30.6,3.6,0.75,61.8,1
3158.9,37.7,11,Road,81.4,60.6,2.3,0.83,74.9,2
4479.7,88.9,29,Road,76.0,43.6,6.2,0.27,78.0,2
588.0,86.9,22,Rail,40.0,48.8,6.1,0.89,63.4,1
1353.2,29.3,39,Road,48.9,99.6,5.2,0.82,60.7,1
4226.9,68.6,32,Road,44.4,80.0,5.2,0.44,71.1,2
4180.7,18.5,26,Rail,16.4,92.8,4.5,0.89,60.6,1
558.9,2.5,3,Multimodal,26.9,63.2,8.6,0.62,42.0,1
3277.0,66.8,22,Rail,79.4,78.9,6.5,0.66,75.5,2
3001.4,34.3,24,Road,47.2,40.2,3.1,0.11,43.8,1
1446.4,33.9,2,Sea,82.7,79.6,9.2,0.61,73.1,2
3657.6,63.1,25,Rail,66.6,79.8,0.8,0.62,73.2,2
2874.1,14.5,19,Rail,71.4,98.6,2.9,0.68,59.1,1
2807.7,76.1,17,Rail,8.1,76.8,6.2,0.33,54.7,1
661.0,54.4,34,Multimodal,90.0,95.8,7.5,0.92,75.3,2
1819.1,35.1,17,Sea,44.0,1.2,9.9,0.27,55.7,1
2045.1,33.2,17,Multimodal,25.5,38.9,2.3,0.62,46.1,1
4495.9,16.7,31,Road,66.3,57.6,5.1,0.65,64.9,1
4217.7,63.3,16,Rail,99.4,8.5,4.3,0.48,68.0,1
3665.5,86.8,13,Sea,10.1,96.6,6.0,0.06,70.3,2
548.5,18.5,13,Road,10.3,23.7,0.4,0.68,32.1,0
3369.6,27.7,5,Rail,92.9,45.1,1.0,0.08,49.6,1
3096.3,29.2,26,Road,36.6,17.1,8.6,0.59,52.1,1
1002.7,26.4,39,Air,77.3,43.6,5.5,0.7,49.8,1
2163.5,43.4,11,Road,77.5,5.3,9.4,0.52,60.3,1
2170.8,43.6,38,Road,79.6,88.8,8.8,0.29,61.3,1
2093.6,40.3,14,Rail,23.2,66.6,9.1,0.78,54.1,1
2261.8,51.2,10,Rail,26.6,37.3,1.9,0.07,34.1,0
3412.4,64.0,10,Rail,69.1,36.7,6.5,0.9,76.5,2
3087.4,88.6,15,Rail,42.7,10.7,3.5,0.83,71.2,2
4074.8,41.8,36,Air,41.3,92.3,1.3,0.42,58.3,1
2279.9,64.3,24,Road,23.2,81.7,4.1,0.69,63.5,1
1863.6,63.9,39,Road,19.9,72.0,6.6,0.9,65.2,1
3961.8,30.9,12,Road,18.6,40.9,2.8,0.49,51.6,1
3013.7,54.5,6,Road,69.1,13.8,0.9,0.1,51.4,1
897.4,34.3,27,Multimodal,81.0,80.3,1.7,0.33,50.3,1
3530.5,88.1,1,Road,39.0,16.7,4.2,0.66,67.7,1
1356.9,31.1,1,Road,41.5,86.0,9.8,0.83,61.6,1
1057.0,1.7,15,Sea,19.7,26.0,1.5,0.2,24.2,0
322.4,39.5,34,Rail,34.8,18.5,4.5,0.94,47.7,1
1659.3,29.7,21,Road,39.3,89.5,2.8,0.71,54.1,1
2578.8,65.3,5,Rail,63.3,8.9,5.2,0.44,57.1,1
4222.1,36.6,9,Sea,90.8,40.7,6.2,0.31,72.3,2
3155.1,38.6,38,Road,7.3,62.0,5.4,0.61,54.6,1
502.5,70.2,23,Air,82.9,43.9,9.5,0.28,52.1,1
3464.3,89.2,25,Air,24.5,51.8,1.7,0.62,65.8,1
2814.1,31.0,8,Air,27.9,72.1,7.8,0.07,41.3,1
851.8,3.0,30,Road,28.2,96.4,6.4,0.79,42.3,1
707.2,72.7,31,Road,67.4,9.2,3.2,0.28,48.4,1
3962.4,25.9,6,Road,52.3,26.9,4.2,0.63,57.2,1
4021.5,26.0,5,Road,80.4,2.2,2.8,0.17,52.4,1
1225.3,58.0,32,Rail,37.6,79.5,8.7,0.84,61.6,1
2458.3,43.4,8,Road,70.0,16.2,8.6,0.13,51.6,1
2066.8,71.3,22,Road,41.3,86.4,0.6,0.29,59.4,1
3579.1,8.9,21,Rail,31.5,75.7,7.2,0.54,50.9,1
2621.7,89.8,6,Road,67.2,4.9,4.1,0.3,62.6,1
1559.7,22.0,29,Rail,62.6,18.5,8.5,0.08,34.7,0
3837.5,66.0,11,Road,80.1,43.1,9.0,0.73,80.8,2
2167.4,70.1,8,Road,12.7,57.0,3.0,0.34,48.3,1
1817.8,10.2,16,Rail,26.1,80.2,0.3,0.63,42.0,1
4485.5,16.5,35,Rail,85.7,63.4,7.8,0.05,53.9,1
3354.3,68.1,25,Road,33.8,75.2,5.8,0.77,71.9,2
3944.4,82.7,13,Rail,12.9,20.6,2.2,0.32,54.7,1
4418.8,60.5,20,Road,14.3,75.1,4.4,0.9,73.1,2
2305.1,30.2,25,Road,67.6,62.2,8.5,0.65,59.8,1
1626.5,57.1,24,Road,77.0,21.3,6.0,0.16,52.3,1
281.8,10.6,7,Rail,12.3,24.7,5.0,0.91,36.7,0
4255.8,58.1,29,Rail,83.8,75.6,2.3,0.39,68.8,1
2487.3,49.5,1,Rail,67.9,95.6,8.1,0.73,67.8,1
2413.1,2.5,18,Road,54.5,60.8,9.2,0.18,42.7,1
3640.9,77.7,19,Rail,44.9,61.1,0.3,0.14,57.8,1
1660.5,58.9,33,Road,91.9,68.0,2.6,0.47,66.5,1
713.5,1.9,26,Air,46.6,6.9,6.5,0.17,20.8,0
883.0,43.2,39,Road,18.4,96.7,0.4,0.39,44.3,1
1071.1,74.5,30,Road,4.2,65.1,2.4,0.87,59.7,1
868.0,65.1,2,Rail,21.7,36.4,0.1,0.9,49.6,1
3568.6,22.8,30,Road,63.9,39.6,4.1,0.05,47.2,1
3555.9,25.0,1,Multimodal,23.5,98.1,0.8,0.1,43.2,1
802.2,34.9,3,Road,91.1,0.0,6.1,0.2,43.0,1
1134.1,20.5,5,Multimodal,85.4,42.1,0.3,0.26,38.1,0
4219.4,61.1,26,Rail,74.9,72.6,1.5,0.89,79.9,2
2770.7,77.0,23,Multimodal,67.8,18.9,4.7,0.62,70.3,2
1696.6,64.2,1,Road,94.8,63.1,7.1,0.42,69.8,1
2647.4,22.9,17,Multimodal,80.4,98.4,8.6,0.76,74.5,2
1394.8,57.1,30,Rail,73.6,21.4,8.1,0.39,49.2,1
3399.1,74.8,30,Road,5.6,71.6,2.3,0.87,70.6,2
1533.3,59.9,17,Rail,42.9,9.9,5.2,0.69,52.3,1
512.1,30.6,30,Sea,46.5,36.0,7.8,0.78,60.4,1
2779.6,49.6,16,Air,97.2,44.4,1.5,0.22,55.6,1
